data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_46,yhat_model_42_to_46,yhat_model_43_to_46,yhat_model_44_to_46,yhat_model_45_to_46,yhat_model_46_to_46
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,30.72354590476744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,32.222868392400194,29.340877294198464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,33.722190880032954,31.36494337157726,28.106469638558014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,35.22151336766571,33.387411951263665,30.503345340821866,29.124791767834534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,36.72081576568122,35.40988053095007,32.89911126046667,31.418471054418493,32.86650169975598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,38.218155673771236,37.431856975103244,35.294877180111456,33.70816949714675,35.26415836451408,40.851433820944706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,39.71549558186125,39.451053713277965,37.69064309975626,35.997867939875,37.6603078441394,43.64801718470471,41.673178471983555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,41.21208500129872,41.46921854279371,40.086409019401046,38.286432475380835,40.05621743952876,46.44361108228009,44.324905246330495,46.79919300659597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,42.70798539635345,43.486343810322445,42.482147639815445,40.574182717539394,42.452127034918114,49.23522731163494,46.974052844389306,49.575108185366446,50.015895683664766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,44.20388579140818,45.50346907785117,44.87786937372158,42.8610044682241,44.84527828924585,52.02442409812031,49.62140323140625,52.351023364136935,52.8306323258247,52.09501167726365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,45.69978618646293,47.5205943453799,47.273591107627695,45.147622431319526,47.23837862145518,54.81362088460569,52.26875361842319,55.126938542907425,55.645368967984616,54.882168264382415,59.66154065796944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,47.19568658151766,49.537719612908624,49.66931284153384,47.434240394414964,49.63147895366452,57.602817671091074,54.91610400544015,57.90285372167791,58.460105610144545,57.66932485150117,62.64471293368288,64.34606125570316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,48.691586976572395,51.55484488043735,52.06503457543997,49.7208583575104,52.02440957726635,60.39201445757645,57.56300940770555,60.67876890044839,61.274842252304474,60.45648143861994,65.62788520939635,67.43844918598556,63.078864035478915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,50.18748737162712,53.57197014796608,54.460756309346095,52.00747632060584,54.41702376127867,63.180795984141305,60.20982353556204,63.45468407921888,64.0895788944644,63.24363802573871,68.61105748510981,70.53083711626796,65.98812676804782,75.27450315959472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,51.68338776668186,55.5890954154948,56.856478043252224,54.29409428370128,56.809637945290994,65.9684404594856,62.856637663418525,66.23059925798937,66.90431553662431,66.03074034571077,71.59422976082324,73.62325090882405,68.89681495768473,78.60973044285315,71.89199044939318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,57.60622068302352,59.25219977715835,56.580712246796715,59.20225212930332,68.75608493482989,65.50345179127501,69.00651443675986,69.71905217878424,68.81693306740324,74.5774020365367,76.71571202214876,71.80516132822474,81.9449577261116,74.9042733448975,74.76727149414016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,61.64792151106448,58.867330209892145,61.594866313315634,71.54372941017415,68.14938994769605,71.78242961553033,72.53378882094417,71.60312578909573,77.56057431225015,79.8081731354735,74.7126966354756,85.28018500937003,77.9160115601123,77.77769311990855,72.37788753098891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,61.15394817298759,63.98748049732795,74.33044299175275,70.79509763491095,74.55834479430082,75.3485254631041,74.38931851078821,80.54374658796358,82.9006342487982,77.62023194272648,88.61541229262845,80.92749735074923,80.78811474567695,75.18405438300505,81.5320971541633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,66.38009468134027,77.1171054186872,73.44080532212583,77.3339620602228,78.16326210526402,77.17551123248067,83.52691886367704,85.99308359981744,80.52776724997734,91.9506395758869,83.93898314138617,83.79853637144534,77.9902212350212,84.56800397591145,87.98813784199793,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,79.90376784562166,76.0862881479832,80.10944699932672,80.97799874742394,79.96170395417316,86.51009113939051,89.08535675550074,83.4353025572282,95.28586685914533,86.9504689320231,86.80895799721372,80.79638808703734,87.6039107976596,91.13769592486302,119.44323617903827,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,78.7308517164014,82.88493193843064,83.79273538958388,82.74789667586565,89.49326341510395,92.17762991118404,86.34283786447908,98.62109414240376,89.96195472266002,89.81894900464714,83.6025996078322,90.63981761940775,94.28719645160562,123.59395022115541,99.31140864595565,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,85.66041687753457,86.60747203174381,85.53408939755812,92.4764356908174,95.26990306686734,89.25037317172995,101.9563214256622,92.97344051329695,92.82827849337548,86.40882433377347,93.67557063323055,97.43667200123922,127.74466426327255,102.65393853464442,119.74291042221476,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,89.42220867390373,88.32028211925059,95.45960796653084,98.36217622255064,92.15790847898081,105.29154870892062,95.98492630393389,95.83760798210383,89.21504905971473,96.71130425265211,100.58614755087281,131.89537106695366,105.9964684233332,123.62137225818647,147.96839467602106,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,91.10647484094308,98.4427802422443,101.45444937823395,95.0654437862317,108.62677599217905,98.99641209457081,98.84693747083217,92.02123776020481,99.74703787207366,103.73562310050642,136.04607033558236,109.33899831202194,127.49983409415822,152.62655206744023,121.03779866681698,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,101.42595251795775,104.54672253391725,97.97297909348255,111.9620032754375,102.00789788520775,101.85626695956051,94.8273143482604,102.78277149149524,106.88509865014002,140.19676960421106,112.68152820071072,131.37829593012995,157.28470945885934,124.72696392007376,147.93373377659935,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,107.63899568960055,100.88051440073343,115.29723055869593,105.01938367584468,104.86559644828885,97.63339093631599,105.8185051109168,110.0345741997736,144.34746887283976,116.02405808939949,135.25675776610166,161.94286685027848,128.41612917333055,152.3185650585001,118.26688601280833,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,103.78804970798429,118.63245784195436,108.03086946648163,107.8749259370172,100.43946752437158,108.85423873033838,113.18404974940721,148.49816814146845,119.36658797808825,139.1352196020734,166.60102424169764,132.1052944265873,156.70339634040084,121.66168895580606,146.48019038442072,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,121.9676851252128,111.04235525711854,110.88425542574555,103.24554411242717,111.88997234975996,116.3335252990408,152.64886741009713,122.709117866777,143.0136814380451,171.25918163311678,135.79445967984407,161.08822762230164,125.05649189880377,150.56011747954133,123.81739404603813,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,114.05384104775548,113.8935849144739,106.05162070048276,114.92570596918152,119.4830008486744,156.79956667872585,126.05164775546577,146.89214327401683,175.9173390245359,139.48362493310086,165.4730589042024,128.4512948418015,154.64004457466189,127.18631420718337,168.2761359051227,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,116.90291440320223,108.85769728853835,117.96143958860308,122.63247639830799,160.95026594735452,129.39417764415455,150.77060510998857,180.57549641595506,143.17279018635764,169.85789018610313,131.84609778479924,158.71997166978252,130.5552343683286,172.74764357169056,131.5822478817238,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,111.66377387659394,120.99717320802466,125.78195194794156,165.10096521598322,132.73670753284333,154.64906694596027,185.2336538073742,146.8619554396144,174.2427214680039,135.24090072779697,162.7998987649031,133.92415452947387,177.21915123825846,134.96915753630668,158.31138463629227,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,124.03290682744621,128.93142749757516,169.25166448461192,136.07923742153207,158.52752878193198,189.89181119879333,150.55112069287117,178.62755274990465,138.6357036707947,166.8798258600237,137.29307469061908,181.69065890482636,138.3560671908896,162.29817231075768,173.00593038256739,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,132.08090304720878,173.40236375324062,139.42176731022084,162.4059906179037,194.54996859021244,154.24028594612793,183.01238403180542,142.03050661379243,170.95975295514427,140.66199485176432,186.16216657139424,141.7429768454725,166.28495998522303,177.24544275430694,148.2245682109482,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,177.55306302186932,142.76429719890965,166.28445245387542,199.2081259816316,157.92945119938474,187.39721531370617,145.42530955679015,175.03968005026488,144.03091501290956,190.6336742379622,145.12988650005533,170.27174765968837,181.4849551260465,151.7742407583757,177.23986854126255,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,146.10682708759842,170.16291428984712,203.86628337305075,161.6186164526415,191.78204659560691,148.82011249978788,179.11960714538543,147.39983517405477,195.10518190453007,148.51679615463826,174.25853533415375,185.72446749778604,155.3239133058032,181.37739880424678,169.30275498864592,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,174.04137612581886,208.5244407644699,165.30778170589826,196.1668778775077,152.2149154427856,183.19953424050604,150.76875533520004,199.576689571098,151.90370580922115,178.24532300861912,189.9639798695256,158.87358585323068,185.514929067231,173.16019352619188,203.88232970259256,,,,,,,,,,
