data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_46,yhat_model_42_to_46,yhat_model_43_to_46,yhat_model_44_to_46,yhat_model_45_to_46,yhat_model_46_to_46
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,32.94641972454623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,32.613852557599884,32.736599771198236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,32.512230966841436,32.3725765641118,30.591761179628296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,32.49415894332705,32.267424048214274,30.240513741212304,30.015290867322477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,32.4922379844214,32.249117977968915,30.13693113120348,29.651153708131574,28.14013544865321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,32.49211479862083,32.24718774888922,30.11873434207172,29.545996630581776,27.803446508053266,29.470462701265824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,32.49211001670468,32.247064342295516,30.116808563728164,29.527690450997802,27.70373331257631,29.127939518223588,31.923545663387607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,32.492109904197235,32.2470595572059,30.116685264881795,29.525760220340587,27.686038391972794,29.025323575497897,31.5594085041967,37.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,32.492109902592155,32.24705944467087,30.116680481355893,29.525636813733144,27.684148544853464,29.00719034893099,31.454251426646902,37.125640418329034,41.04119410185852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,32.492109902578264,32.247059443065645,30.11668036883453,29.52563202864345,27.68402673261703,29.00526707578319,31.435945247062932,37.02036938867476,40.68994666344253,43.92354566338761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,32.49210990257819,32.247059443051754,30.116680367229378,29.525631916108424,27.684021985410578,29.005143836424555,31.434015016405713,37.00205864743852,40.586364053433705,43.559408504196696,46.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,32.49210990257819,32.24705944305168,30.116680367215487,29.525631914503194,27.68402187341917,29.005139053752092,31.43389160979827,37.000128307442694,40.56816726430194,43.4542514266469,46.125640418329034,48.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,32.49210990257819,32.24705944305168,30.116680367215416,29.52563191448931,27.68402187181866,29.005138941238144,31.43388682470858,37.000004899257725,40.566241485958386,43.43594524706293,46.02036938867476,48.125640418329034,56.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,32.49210990257819,32.24705944305168,30.116680367215416,29.52563191448923,27.6840218718048,29.005138939633028,31.43388671217355,37.00000011415429,40.56611818711202,43.434015016405716,46.00205864743852,48.02036938867476,56.125640418329034,68.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,32.49210990257819,32.24705944305168,30.116680367215416,29.52563191448923,27.684021871804724,29.00513893961914,31.433886710568324,37.00000000161919,40.566113403586115,43.433891609798266,46.000128307442694,48.00205864743852,56.02036938867476,68.12564041832903,73.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,32.24705944305168,30.116680367215416,29.52563191448923,27.684021871804724,29.005138939619066,31.433886710554436,37.00000000001396,40.56611329106475,43.43388682470858,46.000004899257725,48.000128307442694,56.00205864743852,68.02036938867475,73.12564041832903,78.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,30.116680367215416,29.52563191448923,27.684021871804724,29.005138939619066,31.43388671055436,37.00000000000007,40.5661132894596,43.43388671217355,46.00000011415429,48.000004899257725,56.000128307442694,68.00205864743852,73.02036938867475,78.12564041832903,87.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,29.52563191448923,27.684021871804724,29.005138939619066,31.43388671055436,37.0,40.56611328944571,43.43388671056832,46.00000000161919,48.00000011415429,56.000004899257725,68.0001283074427,73.00205864743852,78.02036938867475,87.12564041832903,95.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,27.684021871804724,29.005138939619066,31.43388671055436,37.0,40.56611328944564,43.43388671055443,46.00000000001396,48.00000000161919,56.00000011415429,68.00000489925772,73.0001283074427,78.00205864743852,87.02036938867475,95.12564041832903,106.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,29.005138939619066,31.43388671055436,37.0,40.56611328944564,43.43388671055436,46.00000000000007,48.00000000001396,56.00000000161919,68.00000011415429,73.00000489925772,78.0001283074427,87.00205864743852,95.02036938867475,106.12564041832903,136.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,31.43388671055436,37.0,40.56611328944564,43.43388671055436,46.0,48.00000000000007,56.00000000001396,68.00000000161918,73.00000011415429,78.00000489925772,87.0001283074427,95.00205864743852,106.02036938867475,136.12564041832903,176.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,37.0,40.56611328944564,43.43388671055436,46.0,48.0,56.00000000000007,68.00000000001396,73.00000000161918,78.00000011415429,87.00000489925772,95.0001283074427,106.00205864743852,136.02036938867477,176.12564041832903,201.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,40.56611328944564,43.43388671055436,46.0,48.0,56.0,68.00000000000007,73.00000000001396,78.00000000161918,87.00000011415429,95.00000489925772,106.0001283074427,136.00205864743853,176.02036938867477,201.12564041832903,223.4914659971654,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,43.43388671055436,46.0,48.0,56.0,68.0,73.00000000000007,78.00000000001396,87.00000000161918,95.00000011415429,106.00000489925772,136.00012830744268,176.00205864743853,201.02036938867477,223.12564041832903,352.4914659971654,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,46.0,48.0,56.0,68.0,73.0,78.00000000000007,87.00000000001396,95.00000000161918,106.00000011415429,136.00000489925773,176.00012830744268,201.00205864743853,223.02036938867477,352.12564041832906,401.4914659971654,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,48.0,56.0,68.0,73.0,78.0,87.00000000000007,95.00000000001396,106.00000000161918,136.0000001141543,176.00000489925773,201.00012830744268,223.00205864743853,352.02036938867474,401.12564041832906,555.4914659971654,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,56.0,68.0,73.0,78.0,87.0,95.00000000000007,106.00000000001396,136.00000000161918,176.0000001141543,201.00000489925773,223.00012830744268,352.0020586474385,401.02036938867474,555.125640418329,684.4914659971654,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,68.0,73.0,78.0,87.0,95.0,106.00000000000007,136.00000000001396,176.00000000161918,201.0000001141543,223.00000489925773,352.0001283074427,401.0020586474385,555.0203693886748,684.125640418329,816.4914659971654,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,73.0,78.0,87.0,95.0,106.0,136.00000000000009,176.00000000001396,201.00000000161918,223.0000001141543,352.0000048992577,401.0001283074427,555.0020586474385,684.0203693886748,816.125640418329,960.4914659971654,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,78.0,87.0,95.0,106.0,136.0,176.00000000000009,201.00000000001396,223.00000000161918,352.0000001141543,401.0000048992577,555.0001283074427,684.0020586474385,816.0203693886748,960.125640418329,1154.4914659971653,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,87.0,95.0,106.0,136.0,176.0,201.00000000000009,223.00000000001396,352.0000000016192,401.0000001141543,555.0000048992578,684.0001283074427,816.0020586474385,960.0203693886748,1154.125640418329,1284.4914659971653,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,95.0,106.0,136.0,176.0,201.0,223.00000000000009,352.000000000014,401.0000000016192,555.0000001141543,684.0000048992578,816.0001283074427,960.0020586474385,1154.0203693886747,1284.125640418329,1484.4914659971653,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,106.0,136.0,176.0,201.0,223.0,352.00000000000006,401.000000000014,555.0000000016192,684.0000001141543,816.0000048992578,960.0001283074427,1154.0020586474386,1284.0203693886747,1484.125640418329,1683.4914659971653,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,136.0,176.0,201.0,223.0,352.0,401.00000000000006,555.000000000014,684.0000000016192,816.0000001141543,960.0000048992578,1154.0001283074428,1284.0020586474386,1484.0203693886747,1683.125640418329,2006.4914659971653,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,176.0,201.0,223.0,352.0,401.0,555.0000000000001,684.000000000014,816.0000000016192,960.0000001141543,1154.0000048992576,1284.0001283074428,1484.0020586474386,1683.0203693886747,2006.125640418329,2193.4914659971655,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,201.0,223.0,352.0,401.0,555.0,684.0000000000001,816.000000000014,960.0000000016192,1154.0000001141543,1284.0000048992576,1484.0001283074428,1683.0020586474386,2006.0203693886747,2193.125640418329,2459.4914659971655,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,223.0,352.0,401.0,555.0,684.0,816.0000000000001,960.000000000014,1154.0000000016191,1284.0000001141543,1484.0000048992576,1683.0001283074428,2006.0020586474386,2193.0203693886747,2459.125640418329,2690.4914659971655,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,352.0,401.0,555.0,684.0,816.0,960.0000000000001,1154.0000000000139,1284.0000000016191,1484.0000001141543,1683.0000048992576,2006.0001283074428,2193.0020586474384,2459.0203693886747,2690.125640418329,2908.4914659971655,,,,,,,,
