data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,12.97774316596823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,16.74142705648481,14.067137964077146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,21.59661940471845,18.007706160366602,15.957087868137782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,27.85986930138046,23.05212915279594,20.315733977797507,19.011431130971435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,35.93952844862481,29.509625142970798,25.864935410974972,24.130150115965698,22.131041302154237,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,46.36237489619202,37.77603232684625,32.9298899338332,30.627054881232773,27.978461507926774,25.24881529468527,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,59.80795794490463,48.35807338944973,41.92462242122002,38.87321405752078,35.370875579828365,31.771050692916432,27.015092234515286,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,77.15290343837147,61.90441711046252,53.37624780081561,49.33960437991046,44.71649875849109,39.97809997621309,33.74960462924186,28.529835378769384,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,99.52806806168184,79.24544112673821,67.95586137114616,62.624010372898375,56.53140411255372,50.30518169373697,42.16294368874587,35.37758883939159,30.50638809699939,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,128.39226899611623,101.44413327025691,86.51786674716143,79.48516662167852,71.46802052184405,63.29993938545352,52.67361914397302,43.86894545561973,37.5789544870427,32.114265024842375,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,165.6273959598499,129.8612516838068,110.15004615419141,100.88609265449048,90.35116034162826,79.6514830340221,65.80446977815957,54.39840414577095,46.291216641216494,39.283830233401716,33.47013624244084,,,,,,,,,,,,,,,,,,,,,
08/04/2020,213.66110675457196,166.2387379658304,140.2373073209017,128.04909549393236,114.22356622544922,100.22693246017641,82.20867130752657,67.45515176790167,57.0233197643353,48.054013274566636,40.65190816143903,34.02534538592199,,,,,,,,,,,,,,,,,,,,
09/04/2020,275.6251058288386,212.80649648872927,178.5428427064593,162.52558133030627,144.40349223991444,126.11740055217786,102.70222768958473,83.64579019335791,70.24354149401293,58.78215484774195,49.374691073727085,41.003057745810096,37.20711221947106,,,,,,,,,,,,,,,,,,,
10/04/2020,355.55932531241035,272.41908535852815,227.31145720559815,206.28466358831614,182.55749894838328,158.6958548128599,128.304562093532,103.72251835034147,86.52872442384769,71.90537258149693,59.969143611774015,49.41171721953647,44.63882276184875,40.74472190035901,,,,,,,,,,,,,,,,,,
11/04/2020,,348.730698038194,289.4011196062532,261.82562820841173,230.7924822684933,199.68992561311885,160.28922667353655,128.61807854367328,106.58944567959084,87.95837137097575,72.83687466843136,59.544773800020415,53.5549355674256,48.67915701798845,46.96032981980478,,,,,,,,,,,,,,,,,
