data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,9.614706698277335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,9.278138379006933,11.802487285459705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,9.176175021828737,11.355107344957016,15.32005144201285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,9.158084534779107,11.17776606337577,14.887738185648896,17.59957613290724,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,9.156162943678758,11.130565936488264,14.671486064979767,17.134374150425415,19.81803088787745,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,9.156039744240328,11.122035444630795,14.592512061591176,16.853130621831966,19.262179256181007,19.59968176354947,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,9.156034962140474,11.12098444727974,14.571351155257755,16.724664153963133,18.896379717551348,18.963329491237957,20.664864893503427,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,9.156034849631494,11.120896051835889,14.567181694982173,16.67968934411749,18.706225197356556,18.520835432719927,20.001743811008765,22.89831319510858,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,9.156034848026405,11.120890974004915,14.566576668258145,16.667517850237015,18.626880226914075,18.267715221480046,19.510557734180082,22.19340926804594,23.858845808842155,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,9.156034848012517,11.120890774741113,14.566511931606854,16.664957728888478,18.60007554280353,18.14698017372112,19.203362760100717,21.649792462602015,23.111242279231043,24.78765686019379,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,9.156034848012442,11.120890769399017,14.566506818898922,16.664537752357074,18.592708902300217,18.098636938741855,19.03911518709434,21.28729304834971,22.51813210326955,24.000441036894156,24.53441781742903,,,,,,,,,,,,,,,,,,,,,
07/04/2020,9.156034848012442,11.12089076930117,14.56650652060785,16.66448389978469,18.591057369730514,18.082331755910744,18.96355866107638,21.076059657978618,22.102679662705913,23.362751338875057,23.718704374832605,30.402813378698937,,,,,,,,,,,,,,,,,,,,
08/04/2020,9.156034848012442,11.120890769299947,14.5665065077429,16.66447849439422,18.590754855183818,18.077691098367527,18.93355241981831,20.967910259842405,21.843575087578685,22.89817704737662,23.044315459889667,29.610442472630844,33.86274935226885,,,,,,,,,,,,,,,,,,,
09/04/2020,9.156034848012442,11.120890769299937,14.566506507332525,16.664478069300735,18.590709540680933,18.076575512569306,18.923245667073978,20.91911812313958,21.699081047593456,22.591999635256165,22.535872099721097,28.933873615651482,33.074338193338605,42.112545330603524,,,,,,,,,,,,,,,,,,
10/04/2020,9.156034848012442,11.120890769299937,14.566506507322838,16.664478043092892,18.59070398698212,18.076348887441824,18.920180570128114,20.89969056159105,21.626868683135086,22.40891761780749,22.184769632235408,28.402866383814395,32.38494543501082,41.33478635835875,44.30464815328743,,,,,,,,,,,,,,,,,
