data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_33,yhat_model_29_to_33,yhat_model_30_to_33,yhat_model_31_to_33,yhat_model_32_to_33
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,12.97774316596823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,16.74142705648481,8.965738323344908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,21.59661940471845,9.301778448207198,20.694202366073856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,27.85986930138046,9.65041351633517,29.170529915178573,12.467917696439365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,35.93952844862481,10.012115592176276,41.11875396209176,12.896747887360673,22.91879972603297,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,46.36237489619202,10.387374433377364,57.96096033604354,13.340327560683372,29.418630736753496,19.82031243148705,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,59.80795794490463,10.776698153934184,81.70172000283814,13.799164020314029,37.761830670495584,22.296750167141813,17.89728919551688,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,77.15290343837147,11.180613912196042,115.16667447746113,14.273782018720905,48.47118373207273,25.08260501616318,18.463075112587106,26.075615203499233,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,99.52806806168184,11.599668624657216,162.33884561716394,14.764724357071861,62.21773708190611,28.216536924919147,19.046747185513563,31.169180838560063,30.173702099568644,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,128.39226899611623,12.034429706501593,228.83269761749543,15.27255250601383,79.86284859455114,31.742036184928704,19.64887084825574,37.25771478697409,37.003149926833416,26.295762319604126,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,165.6273959598499,12.485485839903276,322.5623743955196,15.797847247803794,102.51215947053531,35.70802695760689,20.270029409802568,44.53557244052475,45.37835960564104,29.517670540407053,26.88558431683267,,,,,,,,,,,,,,,,,,,,,
08/04/2020,213.66110675457196,12.953447771123479,454.6836464323553,16.341209340525666,131.58487362081712,40.16954620606814,20.910824619254644,53.235074237528465,55.649195394730874,33.13434550944524,29.729071885904105,22.86758598750028,,,,,,,,,,,,,,,,,,,,
09/04/2020,275.6251058288386,13.438949137482957,640.9216782349388,16.90326020515272,168.90268486425825,45.18850745568005,21.571877248770363,63.63392168944972,68.24470904179543,37.19415632193562,32.87329391029484,23.109439907267777,442472.80779124727,,,,,,,,,,,,,,,,,,,
10/04/2020,355.55932531241035,13.942647325329792,903.4426482119004,17.484642636241297,216.80392410880955,50.83455998224795,22.25382769494068,76.06406204134588,83.69106290151852,41.75139853316951,36.35005682854884,23.35385174104241,467463.3955980502,303788925.3534844,,,,,,,,,,,,,,,,,,
11/04/2020,,14.465224360164191,1273.491982446159,18.086021537068614,278.2900789691652,57.186055350981626,22.957336599175118,90.922284539772,102.63350973181403,46.867020302527784,40.19453100879963,23.60084854203082,493865.436194567,332740828.12702405,729551.3586523721,,,,,,,,,,,,,,,,,
