data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_38,yhat_model_34_to_38,yhat_model_35_to_38,yhat_model_36_to_38,yhat_model_37_to_38,yhat_model_38_to_38
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,10.913904305235524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,11.948302999672581,12.032984261338411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,12.982001439263179,13.122785134280727,13.296319545874994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,14.015367669734834,14.212560307980581,14.42540480606522,14.886687956576393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,15.048733900206487,15.2983350857893,15.552734308934442,16.04388484080693,16.696397873393913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,16.082100130678143,16.383437800809308,16.67773866471916,17.20092405123854,17.919105831569652,18.686670660540575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,17.115466361149796,17.46854051582931,17.80274302050388,18.357963261670154,19.13636082344765,19.95587526726399,20.203262997688096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,18.14842887653991,18.553643230849318,18.926343188279315,19.515002472101763,20.351842347378575,21.225079873987408,21.48534094972567,21.661731183275062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,19.180825154314817,19.638745945869324,20.04815152576835,20.67204168253338,21.567323871309497,22.49428448071082,22.767130853410066,22.962022762495597,23.429148233738676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,20.21456549690009,20.72384866088933,21.169959863257382,21.829080892964992,22.782805395240427,23.763489087434237,24.048920757094468,24.26015872597701,24.758338528259767,25.230712509935746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,21.248305839485365,21.808951375909338,22.291768200746414,22.9861201033966,23.99828691917135,25.032693694157658,25.33071066077887,25.55682297567621,26.08752882278086,26.613306437455126,26.22036610478106,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,22.282046182070633,22.894054090929345,23.413576538235446,24.143159313828214,25.21376844310227,26.30189830088107,26.612157306962175,26.853487225375403,27.416719117301948,27.995900364974514,27.54297206046393,27.139980321252253,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,23.315786524655902,23.979156805949348,24.53538487572448,25.299542783980765,26.429249967033197,27.57110290760449,27.892531068856115,28.150151475074605,28.745909411823046,29.3784942924939,28.865578016146795,28.44248370876083,28.741173882743702,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,24.34952686724117,25.064259520969355,25.657085892640158,26.455817622696657,27.644731490964123,28.840307514327904,29.172904830750063,29.4468157247738,30.075099706344133,30.76108822001328,30.188183971829666,29.744987096269405,30.05170970309776,30.742948350122937,,,,,,,,,,,,,,,,,,,,,,,,
