data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,9.777083333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,10.062248263888886,17.43681532689144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,10.355730504918979,18.552140570415798,26.848623077181657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,10.65777264464578,19.73880627236229,29.162418993784243,38.50456642168504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,10.968624346781283,21.001375640671775,31.675616255040396,42.4518500152452,49.15293622509141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,11.288542556895736,22.344703763477245,34.40539913202794,46.80378815282365,54.59630473837205,58.60234674166519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,11.617791714805193,23.773956278874657,37.370432824516456,51.601863868540825,60.642490968089525,65.31886159182467,69.07231473023492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,11.956643973153676,25.294629238883594,40.59099108638595,56.89181281679604,67.35825306195396,72.80516765753525,77.19893332064665,84.22649580064589,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,12.305379422370658,26.91257024398257,44.08909484971647,62.72405922830639,74.81774219904156,81.14949202215185,86.28167926790104,94.54245585014594,105.06903042039866,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,12.6642863221898,28.63400092948994,47.88866279540668,69.15419655804273,83.10332132001204,90.45017362543936,96.43304456511093,106.12190229702338,118.55994074334477,126.83884289998603,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,13.033661339920334,30.465540890259447,52.01567489986509,76.2435174066386,92.30647452638097,100.81682220067191,107.77875631305957,119.11958543777973,133.78308996307655,143.5994259271157,147.26569223015784,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,13.413809795668008,32.41423313569068,56.498350076042854,84.05959776652678,102.52881718985651,112.37161003948842,120.45933388058343,133.7092091993766,150.96089832579742,162.57476538836718,166.92796093134643,167.3649962031622,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,13.805045914708325,34.48757117293905,61.36733912344892,92.67694116188599,113.88321792472601,125.25071180812023,134.6318292707525,150.08575255713117,170.34434493642988,184.0575209158394,189.21544942828712,189.7344845079398,182.38815661233158,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,14.20769308722065,36.693527822471275,66.65593430646518,102.17768882239278,126.495044811399,139.60590938341073,150.47177224770206,168.46807527708745,192.2166347288006,208.37902441228863,214.47866554287694,215.09380950718466,206.3836958990406,204.3717819558797,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,39.040585876773754,72.40029699397694,112.65240266021388,140.50354963111513,155.6063806218268,168.17534431497936,189.10184280658348,216.89733627643076,235.914390234952,243.11491536259427,243.84258353613612,233.53616114165922,231.1521531383599,242.8339368093409,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,78.63970491683057,124.20092851364004,156.06340539565758,173.44069314233545,187.96180847065014,212.26280940190267,244.74705090007612,267.0883006430232,275.5745515394658,276.43382988012695,264.260887097703,261.4417577081883,275.3137501124967,280.7744813896418,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,136.93334788587134,173.34641414849827,193.31902662013482,210.07622483226606,238.26050336945673,276.17268129075507,302.38155573864236,312.36805583447983,313.38112151715535,299.02785122559624,295.7004369006848,312.1378420040118,318.62935637737826,330.7000255844717,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,192.54340389383034,215.47564978125737,234.7924857653619,267.4423636708827,311.63337662632176,342.33848892216565,354.07406729223646,355.2666740027333,338.36886264420065,334.4482884056028,353.88727359643434,361.58794147881474,375.96185607984756,414.5172864549967,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,240.1716812897467,262.41670810627835,300.198383174564,351.647241043656,387.57536223144353,401.34848230223156,402.7505200247202,382.88569689367296,378.27356222339824,401.22082477877814,410.3383345131387,427.41852522445373,473.5416141996906,487.64451597343896,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,293.2910244928066,336.96632060702166,396.79890348167106,438.78987104773836,454.93476966037207,456.5809102008104,433.2593009301418,427.8415911749127,454.8853893506753,465.66140475368064,485.91790031552466,540.9705884562529,557.8706208944951,540.0917262809501,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,378.2375508578521,447.74805949553746,496.7719047608507,515.6756628522202,517.6061040144781,490.2602091574163,483.90489164288346,515.7277605388647,528.4433006593199,552.4238934731585,618.0009714020518,638.2100474070768,616.9317705964045,594.7244972045318,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,505.2391098436588,562.4157293568768,584.5264134385642,586.7877366909923,554.7603298234287,547.3145878895598,584.7079928640879,599.6896439365242,628.0323443155396,705.9999356781393,730.1192236261791,704.7040179490323,678.1709003411595,644.8851131025706,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,636.7337798225568,662.5698139748467,665.2159726487815,627.7462820707561,619.0333333885486,662.9145512002866,680.5416372882777,713.9890764439518,806.5293296331573,835.2643191285857,804.9638170415928,773.3257537420207,733.6470370478166,712.2426566104017,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,751.0332267248403,754.1266843142894,710.3344876499767,700.1499253359253,751.5814860687673,772.2943438590241,811.7104252598182,921.3733977662343,955.5514500006441,919.4877994764537,881.8318820518828,834.626143530518,809.1484564167486,767.9456474811631,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,854.9209270041505,803.7882481446253,791.8958342106139,852.1079061827243,876.4174311703266,922.8065753568943,1052.570448364752,1093.161233740871,1050.3053621630872,1005.5626163234958,949.5040043611909,919.2389959307658,870.3098513151335,815.7599355752983,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,909.5370689276809,895.6638993273448,966.0800555066784,994.5787118174283,1049.1080920259735,1202.4490303895955,1250.5883204437164,1199.7346287973046,1146.6541366077104,1080.1936427300172,1044.3081549976887,986.3188101665088,921.7303624283352,875.7078913170345,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,1013.0294742084801,1095.296343193006,1128.6708579945764,1192.6960840398347,1373.6692616928092,1430.6866169029988,1370.4235276596708,1307.5423525655303,1228.871390152123,1186.3938838782856,1117.7913174465768,1041.466764879935,987.1078451137774,916.4969673712643,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,1241.7957213522845,1280.8417177544202,1355.9364947198765,1569.270042080941,1636.7210234772613,1565.396713643143,1491.0049588366053,1398.0131281996914,1347.8114108061504,1266.7886047392958,1176.7573973498243,1112.6791337003121,1029.555223297651,955.7829918028878,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,1453.5287185982938,1541.5190863088474,1792.7229891844422,1872.426621625469,1788.1091659813492,1700.2093912395326,1590.4355185425425,1531.1909676749763,1435.646657878096,1329.6228155462773,1254.2245112329897,1156.5602457581144,1070.0120057326583,980.5563925712437,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,1752.501760007116,2047.9940544131252,2142.0763850904827,2042.5074114442016,1938.7675117557312,1809.3429078874688,1739.5206485802896,1627.0128406315396,1502.3460533179486,1413.7760625978663,1299.2324955466252,1197.8929340983143,1093.3592643248487,1006.7086700908532,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,2339.6139125875775,2450.5586422281276,2333.099457892946,2210.7979664193913,2058.3806889088364,1976.1950995778748,1843.8874001855472,1697.506719597548,1593.6243768747618,1459.5046679802138,1341.05736559482,1219.1389398321817,1118.2684859789922,1041.1185401838054,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,2803.4656937526997,2665.034677436744,2520.9972927068093,2341.6960057724614,2245.0708330383754,2089.6705051469085,1918.01952467272,1796.3514319960912,1639.5478739621706,1501.3318858666184,1359.388266155067,1242.1909574106387,1152.6801911984544,1096.9334579186223,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,3044.1950547426104,2874.7210040763302,2664.006815161857,2550.52906792263,2368.2155535319134,2167.1778111711697,2024.867662706441,1841.8010507180613,1680.7613822843934,1515.7718269703153,1379.8460691860598,1276.1962945609766,1211.6729054751681,1148.072956198491,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,3278.076051563109,3030.680452857389,2897.5471199340477,2683.889586505017,2448.702739892115,2282.453743986086,2069.00400061415,1881.6351339583289,1690.1456990911247,1532.7556228690305,1412.9478364313813,1338.4141209881423,1264.9842611297172,1183.6176474132333,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,3447.823014211701,3291.7795048210683,3041.6417550367223,2766.7988650708644,2572.8076897988235,2324.2345056152585,2106.516019861348,1884.5794817719418,1702.6100605717943,1564.3530677723124,1478.4124916600053,1393.8009533857874,1300.1422817158716,1208.3887138703592,
