data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,25.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,26.2,34.58333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,26.949999999999996,36.416666666666664,45.90888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,27.699999999999996,38.25,48.72555555555556,52.167272727272724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,28.449999999999996,40.083333333333336,51.54222222222222,55.93090909090909,57.419999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,29.199999999999996,41.91666666666667,54.35888888888889,59.69454545454545,61.84727272727273,66.47738927738928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,29.949999999999996,43.75,57.175555555555555,63.458181818181814,66.27454545454546,71.34801864801864,83.86813186813187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,30.699999999999996,45.583333333333336,59.992222222222225,67.22181818181818,70.7018181818182,76.21864801864801,89.14285714285715,106.78021978021978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,31.45,47.41666666666667,62.808888888888895,70.98545454545454,75.12909090909093,81.08927738927738,94.41758241758241,112.6153846153846,124.27857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,32.2,49.250000000000014,65.62555555555556,74.74909090909091,79.55636363636366,85.95990675990674,99.6923076923077,118.45054945054945,130.85714285714286,137.96882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,32.95,51.08333333333334,68.44222222222223,78.51272727272728,83.98363636363639,90.83053613053612,104.96703296703298,124.28571428571429,137.43571428571428,145.27470588235295,152.8686274509804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,33.7,52.91666666666667,71.25888888888889,82.27636363636364,88.41090909090912,95.70116550116549,110.24175824175823,130.1208791208791,144.0142857142857,152.5805882352941,160.80490196078432,158.13347093223254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,34.45,54.750000000000014,74.07555555555555,86.03999999999999,92.83818181818185,100.57179487179485,115.51648351648352,135.95604395604394,150.59285714285716,159.88647058823528,168.74117647058824,166.63605091159272,184.13894736842104,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,35.199999999999996,56.58333333333334,76.89222222222222,89.80363636363636,97.26545454545457,105.44242424242422,120.7912087912088,141.7912087912088,157.17142857142858,167.19235294117647,176.67745098039217,175.1386308909529,193.0231578947368,234.88015037593982,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,35.949999999999996,58.41666666666667,79.70888888888888,93.56727272727272,101.69272727272731,110.3130536130536,126.06593406593406,147.6263736263736,163.75,174.49823529411762,184.6137254901961,183.64121087031302,201.90736842105264,244.25834586466164,264.0091774891775,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,60.250000000000014,82.52555555555556,97.33090909090909,106.12000000000005,115.18368298368296,131.34065934065936,153.46153846153845,170.32857142857142,181.8041176470588,192.55,192.1437908496732,210.7915789473684,253.6365413533834,274.21567099567096,318.0466403162055,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,85.34222222222222,101.09454545454545,110.54727272727277,120.05431235431233,136.61538461538464,159.2967032967033,176.90714285714284,189.10999999999999,200.48627450980393,200.64637082903337,219.67578947368418,263.0147368421052,284.4221645021645,329.08616600790515,425.0808300395257,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,104.85818181818182,114.9745454545455,124.9249417249417,141.8901098901099,165.13186813186812,183.4857142857143,196.41588235294114,208.42254901960786,209.14895080839355,228.56,272.392932330827,294.628658008658,340.1256916996048,437.16679841897235,468.5223188405797,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,119.40181818181823,129.79557109557106,147.16483516483518,170.96703296703296,190.06428571428572,203.72176470588232,216.35882352941178,217.65153078775367,237.44421052631577,281.77112781954884,304.8351515151515,351.1652173913044,449.252766798419,482.23318840579714,484.15076923076924,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,134.66620046620045,152.43956043956047,176.8021978021978,196.64285714285714,211.0276470588235,224.2950980392157,226.15411076711385,246.32842105263154,291.14932330827065,315.041645021645,362.20474308300396,461.3387351778656,495.9440579710145,499.3969230769231,530.3596581196581,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,157.71428571428572,182.63736263736263,203.22142857142856,218.33352941176466,232.23137254901962,234.65669074647403,255.21263157894737,300.5275187969924,325.2481385281385,373.2442687747036,473.4247035573122,509.6549275362319,514.6430769230769,546.8536752136752,565.4755392755393,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,188.47252747252747,209.8,225.63941176470584,240.16764705882355,243.1592707258342,264.09684210526314,309.9057142857142,335.454632034632,384.2837944664032,485.51067193675897,523.3657971014493,529.8892307692308,563.3476923076922,583.186161986162,641.4233716475096,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,216.37857142857143,232.945294117647,248.10392156862747,251.66185070519433,272.98105263157896,319.28390977443604,345.6611255411255,395.3233201581028,497.5966403162056,537.0766666666667,545.1353846153846,579.8417094017094,600.8967846967847,660.2430213464697,673.2185221674877,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,240.25117647058818,256.0401960784314,260.16443068455453,281.86526315789473,328.66210526315786,355.86761904761903,406.3628458498024,509.6826086956522,550.7875362318841,560.3815384615384,596.3357264957265,618.6074074074074,679.0626710454297,693.2860098522167,704.0199035965888,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,263.9764705882353,268.6670106639147,290.7494736842105,338.04030075187967,366.07411255411256,417.402371541502,521.7685770750988,564.4984057971014,575.6276923076923,612.8297435897435,636.3180301180302,697.8823207443897,713.3534975369457,725.1916499814608,769.828629032258,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,277.1695906432749,299.6336842105263,347.4184962406015,376.28060606060603,428.4418972332016,533.8545454545455,578.2092753623189,590.8738461538461,629.3237606837606,654.0286528286529,716.7019704433499,733.4209852216749,746.3633963663328,791.9758064516128,782.2609237536656,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,308.5178947368421,356.7966917293233,386.48709956709956,439.4814229249012,545.9405138339921,591.9201449275363,606.12,645.8177777777777,671.7392755392756,735.5216201423099,753.4884729064039,767.5351427512051,814.1229838709677,805.4381598240468,815.7152406417113,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,366.17488721804506,396.69359307359304,450.52094861660083,558.0264822134387,605.6310144927536,621.3661538461538,662.3117948717949,689.4498982498983,754.3412698412699,773.555960591133,788.706889136077,836.2701612903224,828.615395894428,839.7185828877007,821.6932925897631,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,406.90008658008657,461.5604743083004,570.1124505928854,619.341884057971,636.6123076923077,678.8058119658118,707.160520960521,773.16091954023,793.6234482758621,809.8786355209493,858.4173387096773,851.7926319648093,863.7219251336899,846.4407333842627,848.7291876750701,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,472.6,582.198418972332,633.0527536231884,651.8584615384615,695.2998290598289,724.8711436711437,791.98056923919,813.6909359605911,831.0503819058213,880.5645161290322,874.9698680351905,887.7252673796793,871.1881741787623,874.0395518207283,891.5477048477048,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,594.2843873517787,646.7636231884057,667.1046153846154,711.793846153846,742.5817663817664,810.80021893815,833.7584236453202,852.2221282906933,902.711693548387,898.1471041055718,911.7286096256685,895.935614973262,899.3499159663866,917.3488631488631,969.035656709341,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,660.4744927536233,682.3507692307692,728.287863247863,760.2923890923892,829.61986863711,853.8259113300493,873.3938746755655,924.8588709677418,921.324340175953,935.7319518716579,920.6830557677615,924.6602801120449,943.1500214500214,995.3213371266003,1010.9764744501587,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,697.5969230769231,744.7818803418801,778.0030118030119,848.4395183360701,873.8933990147783,894.5656210604375,947.0060483870967,944.5015762463345,959.7352941176471,945.4304965622612,949.9706442577032,968.9511797511797,1021.6070175438598,1037.8551263814422,1026.4773684210527,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,761.2758974358973,795.7136345136346,867.2591680350301,893.9608866995075,915.7373674453095,969.1532258064515,967.6788123167157,983.7386363636365,970.1779373567608,975.2810084033614,994.7523380523379,1047.8926979611192,1064.7337783127257,1053.9204858299597,1038.8008067542214,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,813.4242572242573,886.0788177339901,914.0283743842365,936.9091138301817,991.3004032258063,990.856048387097,1007.7419786096257,994.9253781512605,1000.5913725490196,1020.5534963534964,1074.1783783783785,1091.6124302440091,1081.3636032388665,1066.7006191369605,1077.9614634146342,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,904.8984674329503,934.0958620689655,958.0808602150537,1013.4475806451612,1014.0332844574782,1031.7453208556149,1019.6728189457599,1025.9017366946778,1046.3546546546545,1100.4640587956378,1118.4910821752928,1108.8067206477735,1094.6004315197,1106.2163414634147,1093.0789185101153,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,954.1633497536947,979.2526065999257,1035.594758064516,1037.2105205278592,1055.7486631016043,1044.4202597402596,1051.212100840336,1072.1558129558127,1126.749739212897,1145.3697341065763,1136.2498380566803,1122.500243902439,1134.4712195121951,1121.6761958782376,1130.1435517970401,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,1000.4243529847979,1057.741935483871,1060.3877565982405,1079.7520053475935,1069.1677005347592,1076.5224649859942,1097.9569712569712,1153.0354196301564,1172.2483860378597,1163.6929554655871,1150.4000562851784,1162.7260975609756,1150.2734732463603,1159.0071881606766,1147.9817195207893,,
