data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,26.303304356992268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,26.120694912059268,36.93784237442518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,26.0486981868092,36.56036654793213,49.97675314602016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,26.033980579338685,36.396694159994354,49.474334702071545,58.13295262061012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,26.03228314788897,36.351270020930194,49.22405988726682,57.54239029915338,65.07411712550655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,26.03216884418439,36.34289437602264,49.13462183073189,57.21171713980427,64.41865035944284,75.4411944604874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,26.032164274232972,36.34185249390125,49.11123923645616,57.06877816266275,64.01539880905084,74.73563377510345,94.2267211727392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,26.03216416477573,36.341764462154124,49.10673321915031,57.020585844889105,63.81410885752617,74.26797196747732,93.48865806402122,118.3774565191813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,26.032164163197173,36.341759394184606,49.10609123817846,57.00786471177518,63.73211461607566,74.00727471292919,92.96673163441156,117.60933925522092,137.72912636409083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,26.032164163183428,36.34175919510283,49.10602353564931,57.00523193966278,63.70480200974889,73.88463896553878,92.64879194855938,117.03885478542962,136.93976862801264,153.57935768310418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,26.032164163183353,36.341759189763025,49.10601824810884,57.00480450052473,63.697356541297125,73.8358968005218,92.48132519896734,116.66643926266872,136.32855463592426,152.76902154720622,170.63070352629998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,26.032164163183353,36.3417591896652,49.10601794222609,57.00475005056369,63.69569507552338,73.81952136306039,92.404938749634,116.45201156378145,135.90615871792843,152.12102099797394,169.80618832931418,177.88065881972832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,26.032164163183353,36.341759189663975,49.10601792911786,57.00474460783376,63.69539154253479,73.81487030386495,92.37474791838744,116.34296088852702,135.6446893261622,151.65232229556446,169.12784071264647,177.0410719397804,205.53181496116687,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,26.032164163183353,36.34175918966396,49.106017928701725,57.00474418091554,63.6953461429434,73.81375342152094,92.36440568149683,116.293945468206,135.49947813385378,151.34466037959078,168.61777700289065,176.33477739764885,204.6825861570718,258.7816165422982,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,26.032164163183353,36.34175918966396,49.10601792869194,57.00474415463791,63.6953405834454,73.8135266601946,92.36133468178113,116.2744692497456,135.42707173698278,151.16109645913457,168.26606955023846,175.7866507239986,203.9535742182753,257.92127565484697,291.6326542877458,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,36.34175918966396,49.10601792869177,57.00474415336868,63.6953400260556,73.8134877341756,92.36054420398673,116.26762712841496,135.3946454263323,151.06147606385534,168.0433081710416,175.39299631031952,203.37195876070717,257.1708186270722,290.7656630339509,349.7823711132613,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,49.10601792869177,57.004744153320566,63.69533998030222,73.81348208452374,92.36036782292703,116.26550187436473,135.38160087840402,151.01228301724353,167.9136041214848,175.13095354381812,202.9393677825766,256.55828696071256,289.9980446912801,348.9069993331741,461.9333304487993,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,57.00474415331914,63.69533997722735,73.81348139123439,92.36033370600599,116.26491819651648,135.37688673977857,150.99017636983166,167.84414987282196,174.96914609570518,202.63892345202123,256.08910995041697,289.35859457335545,348.12271961955844,461.0533287284317,512.5830028706263,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,63.695339977058154,73.81348131930295,92.36032798536527,116.2647764601266,135.3753562452742,150.9811349151877,167.8099390189325,174.87642669862788,202.44390819522874,255.75133872187405,288.8559892433221,347.4582016525285,460.25595059739857,511.69655495399815,535.6339073036794,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,73.81348131299289,92.36032715383698,116.2647460276844,135.37490984554816,150.97776929335674,167.7944368297108,174.82711174829353,202.32555227401477,255.5225947103612,288.4826660652586,346.92431616801935,459.56979378433175,510.88606569608925,534.7442233372284,587.9835595780843,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,92.36032704905968,116.2647402501817,135.37479287356607,150.97662901435922,167.78797421318248,174.8027634488832,202.25837310355507,255.37680877925848,288.2203893931004,346.5169905373577,459.00761651812724,510.17951631932715,533.9236349714507,587.0888315688385,629.5344235226963,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,116.26473928036049,135.37476533717714,150.97627738985392,167.78549552925068,174.7916034458653,202.22270667258505,255.28934501445792,288.04602210790324,346.2216276005758,458.5684215830312,509.5908335145632,533.1996277711535,586.2577983977756,628.6374389841973,711.3840704870008,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,135.37475951346372,150.9761787003551,167.78462087389534,174.78685471311877,202.2049935242829,255.23994280552995,287.93629296485,346.01796925952084,458.24096613779574,509.1213971132461,532.5871457590739,585.5171075717026,627.7985462687643,710.4830795721582,750.0349031301201,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,150.97615348951564,167.78433691292372,174.7849787898158,202.1967642886466,255.213670239221,287.87091983171564,345.88440137928734,458.007845751936,508.7628109118261,532.0896598045179,584.8822293684225,627.043696403324,709.6357703883511,749.1323549123997,787.8845539319825,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,167.7842520949938,174.78429080392056,202.193187775786,255.20051453106944,287.8340444938222,345.80106670915734,457.84932970495265,508.5002981267569,531.7013547374785,584.3582014909559,626.388827423075,708.8671793022858,748.2788782947076,786.9787814975476,860.535361346909,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,174.78405655762927,202.19173365175524,255.1943116814544,287.8143495674906,345.7515999057444,457.7463599829239,508.31606018821304,531.4099506559725,583.9413471566746,625.8403590534735,708.1933746376608,747.4987354902627,786.1184512068888,859.6285373736782,880.6850216081489,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,202.19118057286803,255.19155784042152,287.8043893908877,345.7236622550688,457.6824548295601,508.19207812752836,531.1996272379449,583.6216039725525,625.3965392157673,707.6217706856307,746.8081195193554,785.3269106652427,858.76333286937,879.7755726830533,921.235807953706,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,255.1904066160334,287.7996197983498,345.70864925771025,457.64455998521277,508.11206931045865,531.053599589132,583.3850427922447,625.049367219503,707.1521780260521,746.2153267715611,784.6202436891754,857.9623108378551,878.9047333745875,920.325677308749,934.085481066773,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,287.797457073785,345.70097291630134,457.62308865624516,508.0625533588805,530.9560576592297,583.2161941911777,624.7867586577975,706.7783842939327,745.721571254282,784.0073436940946,857.2414690685198,878.0941910974727,919.4509628887068,933.1731913348783,967.3362492902338,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,345.6972382220531,457.6114639435631,508.0331634465987,530.8933689267061,583.0999108140413,624.5946305095034,706.4900016256955,745.322284295909,783.490541140006,856.6102347466585,877.3596940091202,918.6325926971448,932.2938036771774,966.4235505997466,1016.9859372163813,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,457.6054500465757,508.01643298245165,530.8546030063862,583.022635964268,624.4586584026515,706.2743143666335,745.008690441325,783.0666682420992,856.071941874993,876.7109931080515,917.8861028688376,931.4674276614857,965.5410674813868,1016.0714463469651,1101.4366894775412,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,508.00729856855787,530.8315362799406,582.9730817526555,624.3655640960728,706.1179068788655,744.7694388691284,782.7283965281797,855.6247029604253,876.1522019383684,917.2215373940687,930.7092719562448,964.7081930031827,1015.1850566796279,1100.521992136553,1149.386393249643,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,530.8183292534683,582.9424156647791,624.3038996056008,706.0079285904117,744.5920975288752,782.465666351734,855.2625446199829,875.6825079200532,916.6437124886148,930.0295183033459,963.9398520564904,1014.3454066820893,1099.6331210377343,1148.4701961039411,1170.9371311833356,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,582.924101795714,624.2643810087837,705.9329395379289,744.4643728518753,782.2670422424587,854.9766583679585,875.2971329378713,916.15279578526,929.4335119145675,963.2463541458488,1013.5670553657927,1098.7880486355846,1147.5780358040488,1170.0208785367518,1186.7868512288262,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,624.2398772744361,705.8833549611776,744.3749853313454,782.1208669036132,854.7566241539988,874.9884219003632,915.745119173401,928.9222314475138,962.6335233495988,1012.8603246020687,1098.001013076908,1146.7271945353439,1169.1267244781172,1185.8693342341685,1229.037576111276,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,705.8515595956542,744.3141949999747,782.0161384347961,854.5914909959586,874.7469384679562,915.4141258807615,928.4929748161229,962.1030778851973,1012.2313829223849,1097.2823516247654,1145.9315308019068,1168.271337558395,1184.972392604539,1228.1201164071283,1248.9873124629294,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,744.2740196380214,781.9430879890888,854.4706383918427,874.5624647455022,915.1513493894354,928.1401799567651,961.6532087230933,1011.6825507300737,1096.6385464037307,1145.2013109751542,1167.468240372356,1184.112066235854,1227.2215713082503,1248.0687798550953,1290.5380253194555,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,781.8934789107997,854.3843850070169,874.424831036382,914.947332903489,927.8562944321462,961.2792910350328,1011.212787247317,1096.0724677289775,1144.5432266373612,1166.727639253502,1183.301499518928,1226.3574182464083,1247.167858216336,1289.6196342271423,1310.7877777547737,,
