data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_41,yhat_model_37_to_41,yhat_model_38_to_41,yhat_model_39_to_41,yhat_model_40_to_41
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,9.777083333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,10.062248263888886,17.43681532689144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,10.355730504918979,18.552140570415798,26.848623077181657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,10.65777264464578,19.73880627236229,29.162418993784243,38.50456642168504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,10.968624346781283,21.001375640671775,31.675616255040396,42.4518500152452,49.15293622509141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,11.288542556895736,22.344703763477245,34.40539913202794,46.80378815282365,54.59630473837205,247.23118551192275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,11.617791714805193,23.773956278874657,37.370432824516456,51.601863868540825,60.642490968089525,488.76439192181874,175.30545787623169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,11.956643973153676,25.294629238883594,40.59099108638595,56.89181281679604,67.35825306195396,966.2641479312275,287.7638412997673,124.17160504216214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,12.305379422370658,26.91257024398257,44.08909484971647,62.72405922830639,74.81774219904156,1910.258642013773,472.3642341932183,166.29669129001272,142.0581783816789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,12.6642863221898,28.63400092948994,47.88866279540668,69.15419655804273,83.10332132001204,3776.49122882289,775.3857077286868,222.7126686863373,184.40531422670136,133.96075374860337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,13.033661339920334,30.465540890259447,52.01567489986509,76.2435174066386,92.30647452638097,7465.9450232045565,1272.7953393355117,298.2677070037962,239.3760099026731,155.5388472580189,146.65113318744616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,13.413809795668008,32.41423313569068,56.498350076042854,84.05959776652678,102.52881718985651,14759.821144053554,2089.2930572316577,399.4547125049112,310.7333124168048,180.5926909888379,165.65434942460553,175.63993143957103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,13.805045914708325,34.48757117293905,61.36733912344892,92.67694116188599,113.88321792472601,29179.470184598697,3429.5737453558863,534.9693030642113,403.3620223044807,209.68215088085313,187.12002346558324,203.58459855627254,215.0042691630954,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,14.20769308722065,36.693527822471275,66.65593430646518,102.17768882239278,126.495044811399,57686.43616639715,5629.643976522461,716.4570757629737,523.603085141126,243.45727480597955,211.367243319478,235.97531853727918,261.8345890028951,243.62469634580728,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,39.040585876773754,72.40029699397694,112.65240266021388,140.50354963111513,114043.36324571888,9241.058410046484,959.5143842285464,679.6876642054158,282.6728188687545,238.75644477295958,273.5194673548881,318.8650730758726,297.69997393998705,251.85974937083114,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,78.63970491683057,124.20092851364004,156.06340539565758,225458.3497389119,15169.193805865201,1285.028628632139,882.300608959358,328.20511357028124,269.6947692810742,317.0369659243952,388.3174305383975,363.7778756143504,290.0846500826999,271.98391338031934,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,136.93334788587134,173.34641414849827,445720.5226179762,24900.22576523696,1720.9732376569289,1145.311891867422,381.0716467354972,304.6421161394739,367.47818623137516,472.89728349791136,444.52252056013583,334.11096621756616,303.533886749021,318.59439213707356,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,192.54340389383034,881168.4486864398,40873.710962809244,2304.8115962085876,1486.726084435194,442.4538008138237,344.1179789038252,425.9447063599036,575.8995686329122,543.1893595822114,384.81918196985305,338.7436384009107,355.30758817013736,368.82446878440714,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,1742028.4585503894,67094.18073645221,3086.716503070072,1929.91486933401,513.723252652486,388.7091676800154,493.7133676876033,701.3368964574295,663.756427889276,443.22341313249933,378.03770045604983,396.2514260356608,396.3506102397073,499.302748268444,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,110135.0717284203,4133.881826175461,2505.2169608576355,596.4726256852728,439.07853207727527,572.2641596289135,854.0958686601612,811.084730936544,510.4916884424228,421.88985050977664,441.91342336350215,425.9310851992741,577.768939827268,629.0817775750779,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,5536.296882394913,3252.0149570817994,692.5510795061374,495.97481449122694,663.312540897218,1040.127443097718,991.1142297339021,587.9693090375848,470.82882407876326,492.8372768336104,457.7192128689108,668.5662135583773,770.4875428856053,692799581603.191,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,4221.4312957003485,804.1056321303674,560.2437801862606,768.8469031449257,1266.678762399521,1211.1033273265723,677.205753192447,525.4446896874424,549.6293359637942,491.87975498739763,773.6324179098601,943.6786677087431,780155220205.6125,1367741998527199.0,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,933.6291383515891,632.8407896263105,891.1719951442003,1542.5754774198806,1479.9215120292424,779.9856644007822,586.3959634606952,612.9658229038396,528.5897698066582,895.2099371811831,1155.7999037250702,878525599287.4932,1606431555434244.2,4.4468946829918745e+20,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,714.8449999421769,1032.959255842372,1878.5655638762862,1808.4069561608458,898.3645425378454,654.4175490050917,683.6008842019515,568.0395298062521,1035.8935497986242,1415.602008567587,989299576051.0793,1886775682163544.5,5.590498624420057e+20,13058535598.619593,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,1197.305155507916,2287.7380260734253,2209.8034878935628,1034.7098518909943,730.3295983116653,762.3755704157757,610.4335078988197,1198.6858075919831,1733.8027457884796,1114041129784.5017,2216043666946896.2,7.028202171996359e+20,14351557653.404493,5052357.493380361,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,2786.0327989526604,2700.294553983249,1191.748368180038,815.0474005181798,850.2278504880845,655.991437238101,1387.0611180094375,2123.5290308364574,1254511443141.92,2602773387551947.5,8.835638659257965e+20,15772611371.581797,5310893.719707849,3851255842.7402983,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,3299.6557016126853,1372.6207114624117,909.5924177619784,948.2037801281441,704.9494501226436,1605.039896950606,2600.8584631433964,1412693767669.4714,3056992697387573.5,1.1107891976704274e+21,17334374113.73508,5582659.607715303,4200569587.812104,823.5356687012644,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,1580.9441555291032,1015.1046011852499,1057.4699571804983,757.5613018982768,1857.274374830889,3185.4825844505203,1590821424644.747,3590479446491742.0,1.3964498654191606e+21,19050778519.549255,5868332.13776502,4581566528.568274,880.4308899429884,938.9795021137832,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,1132.856135589632,1179.327412287052,814.0996862029867,2149.1478872002303,3901.5192251459725,1791409336563.913,4217066879713655.0,1.7555736324398255e+21,20937136802.265392,6168622.932254901,4997120370.675807,941.2568045634822,1042.6829323845618,863.9792106993004,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,1315.2271002383454,874.8576483712662,2486.8897690346766,4778.507450797858,2017289534458.5942,4953002331026925.0,2.2070529384832974e+21,23010277350.4475,6484280.028300049,5450365468.517282,1006.2849705266785,1157.8396493625758,909.0750783186986,885.5833514574275,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,940.1501043237895,2877.708304841817,5852.6261539762945,2271651142357.9844,5817368514872577.0,2.774638775189465e+21,25288694855.6991,6816089.741124974,5944720466.356932,1075.8057067937866,1285.7145849411638,956.524749422211,927.9442853743186,978.534900714917,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,3329.9445720788976,7168.1865626238905,2558085403422.9136,6832578338563838.0,3.4881901555453594e+21,27792715305.63385,7164878.622808192,6483914083.7902,1150.1293894554844,1427.7123735056814,1006.4510820705493,972.3315093285709,1053.7401118616797,938.0713551604706,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,8779.460236268806,2880636383460.2153,8024956066176659.0,4.385244908289983e+21,30544677314.018715,7531515.521258534,7072013239.965972,1229.5878374093834,1585.39278105374,1058.9833469681246,1018.8419487402795,1134.725212698117,963.2402769176368,1021.6523051057782,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,3243858067682.691,9425419903433114.0,5.512994432115947e+21,33569131405.75387,7916913.744552172,7713453728.711111,1314.5357937691424,1760.4878383491223,1114.2575621744932,1067.5771653535041,1221.9344161227161,989.0844933833915,1066.6378073275248,1011.6022382154977,,,,,,
