data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_46,yhat_model_42_to_46,yhat_model_43_to_46,yhat_model_44_to_46,yhat_model_45_to_46,yhat_model_46_to_46
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,25.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,26.2,23.392857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,26.949999999999996,25.71428571428571,34.39285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,27.699999999999996,28.03571428571428,38.64285714285714,50.57142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,28.449999999999996,30.35714285714285,42.89285714285714,57.0,64.89285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,29.199999999999996,32.67857142857143,47.14285714285714,63.428571428571416,72.92857142857142,75.42857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,29.949999999999996,35.0,51.39285714285714,69.85714285714285,80.9642857142857,84.14285714285712,83.14285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,30.699999999999996,37.32142857142857,55.64285714285714,76.28571428571428,88.99999999999997,92.85714285714285,91.71428571428572,95.17857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,31.45,39.64285714285714,59.89285714285714,82.71428571428571,97.03571428571425,101.57142857142857,100.2857142857143,104.2142857142857,115.03571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,32.2,41.96428571428571,64.14285714285714,89.14285714285714,105.07142857142853,110.28571428571426,108.85714285714286,113.24999999999997,125.78571428571428,137.46428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,32.95,44.285714285714285,68.39285714285714,95.57142857142856,113.10714285714283,118.99999999999999,117.42857142857144,122.28571428571428,136.53571428571428,150.21428571428572,160.1428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,33.7,46.607142857142854,72.64285714285714,101.99999999999999,121.14285714285711,127.71428571428568,126.0,131.32142857142856,147.28571428571428,162.96428571428572,174.85714285714283,180.9285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,34.45,48.92857142857142,76.89285714285714,108.42857142857143,129.1785714285714,136.4285714285714,134.57142857142858,140.35714285714283,158.03571428571428,175.71428571428567,189.57142857142856,196.99999999999994,192.3928571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,35.199999999999996,51.24999999999999,81.14285714285714,114.85714285714285,137.21428571428567,145.1428571428571,143.14285714285714,149.39285714285714,168.78571428571428,188.46428571428567,204.28571428571422,213.07142857142856,207.9285714285714,207.60714285714283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,35.949999999999996,53.57142857142856,85.39285714285714,121.28571428571426,145.24999999999994,153.85714285714283,151.71428571428572,158.42857142857142,179.53571428571428,201.21428571428567,218.99999999999994,229.1428571428571,223.46428571428567,222.9285714285714,242.14285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,55.89285714285713,89.64285714285712,127.71428571428571,153.28571428571422,162.57142857142856,160.2857142857143,167.4642857142857,190.28571428571425,213.96428571428567,233.71428571428567,245.21428571428567,239.0,238.24999999999994,260.2857142857142,282.1428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,93.89285714285712,134.14285714285714,161.32142857142853,171.28571428571428,168.85714285714286,176.49999999999997,201.03571428571425,226.71428571428567,248.4285714285714,261.2857142857142,254.53571428571428,253.5714285714285,278.42857142857133,303.9999999999999,338.32142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,140.57142857142858,169.3571428571428,179.99999999999994,177.42857142857144,185.53571428571425,211.78571428571425,239.46428571428567,263.1428571428571,277.3571428571428,270.07142857142856,268.8928571428571,296.57142857142856,325.8571428571428,366.21428571428567,433.7857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,177.39285714285708,188.71428571428567,186.0,194.57142857142856,222.53571428571425,252.21428571428567,277.8571428571428,293.4285714285714,285.60714285714283,284.21428571428567,314.71428571428567,347.71428571428567,394.1071428571428,473.2857142857142,520.2142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,197.4285714285714,194.57142857142858,203.60714285714283,233.28571428571425,264.96428571428567,292.5714285714285,309.49999999999994,301.1428571428571,299.5357142857142,332.8571428571428,369.57142857142844,421.9999999999999,512.7857142857142,568.7142857142858,572.4285714285716,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,203.14285714285714,212.64285714285714,244.03571428571425,277.71428571428567,307.2857142857142,325.5714285714285,316.6785714285714,314.8571428571428,350.9999999999999,391.42857142857133,449.892857142857,552.2857142857142,617.2142857142858,622.7142857142858,614.7857142857142,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,221.67857142857142,254.78571428571425,290.46428571428567,321.9999999999999,341.6428571428571,332.21428571428567,330.1785714285714,369.1428571428571,413.2857142857142,477.7857142857142,591.7857142857142,665.7142857142858,673.0,664.2857142857142,649.4285714285711,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,265.5357142857142,303.21428571428567,336.7142857142856,357.71428571428567,347.74999999999994,345.49999999999994,387.2857142857142,435.142857142857,505.67857142857133,631.2857142857142,714.2142857142858,723.2857142857144,713.7857142857142,696.8571428571427,691.3214285714284,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,315.96428571428567,351.42857142857133,373.7857142857142,363.2857142857142,360.8214285714285,405.42857142857133,456.9999999999999,533.5714285714284,670.7857142857142,762.7142857142858,773.5714285714287,763.2857142857142,744.285714285714,736.9285714285713,720.5357142857142,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,366.14285714285705,389.8571428571428,378.82142857142856,376.14285714285705,423.57142857142844,478.8571428571428,561.4642857142856,710.2857142857142,811.2142857142858,823.8571428571429,812.7857142857142,791.7142857142853,782.5357142857142,762.2142857142856,764.7857142857143,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,405.92857142857133,394.3571428571428,391.46428571428567,441.71428571428555,500.71428571428555,589.3571428571427,749.7857142857142,859.7142857142858,874.1428571428573,862.2857142857142,839.1428571428569,828.1428571428571,803.8928571428571,807.2857142857143,825.5,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,409.8928571428571,406.7857142857142,459.8571428571428,522.5714285714284,617.2499999999999,789.2857142857142,908.2142857142858,924.4285714285716,911.7857142857142,886.5714285714282,873.75,845.5714285714284,849.7857142857143,871.5714285714287,856.2857142857141,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,422.1071428571428,477.9999999999999,544.4285714285713,645.142857142857,828.7857142857142,956.7142857142858,974.7142857142858,961.2857142857142,933.9999999999995,919.3571428571427,887.25,892.2857142857143,917.6428571428571,899.9999999999999,883.3214285714284,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,496.142857142857,566.2857142857141,673.035714285714,868.2857142857142,1005.2142857142858,1025.0,1010.7857142857142,981.4285714285711,964.9642857142856,928.9285714285713,934.7857142857143,963.7142857142858,943.7142857142854,924.2142857142858,887.642857142857,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,588.142857142857,700.9285714285713,907.7857142857142,1053.7142857142858,1075.2857142857144,1060.2857142857142,1028.8571428571424,1010.5714285714284,970.6071428571429,977.2857142857143,1009.7857142857142,987.4285714285712,965.1071428571429,921.8571428571428,904.5000000000001,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,728.8214285714284,947.2857142857142,1102.2142857142858,1125.5714285714287,1109.7857142857142,1076.2857142857138,1056.1785714285713,1012.2857142857142,1019.7857142857143,1055.857142857143,1031.1428571428569,1006.0,956.0714285714286,935.7142857142857,929.4642857142858,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,986.7857142857142,1150.7142857142858,1175.857142857143,1159.2857142857142,1123.7142857142853,1101.7857142857142,1053.9642857142858,1062.2857142857142,1101.9285714285713,1074.8571428571427,1046.892857142857,990.2857142857141,966.9285714285714,959.0714285714284,980.2142857142856,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,1199.2142857142858,1226.1428571428573,1208.785714285714,1171.1428571428567,1147.392857142857,1095.642857142857,1104.7857142857142,1148.0,1118.5714285714284,1087.7857142857142,1024.5,998.1428571428572,988.6785714285713,1012.2857142857142,1046.8571428571427,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,1276.4285714285716,1258.2857142857142,1218.571428571428,1192.9999999999998,1137.3214285714284,1147.2857142857142,1194.0714285714287,1162.2857142857142,1128.6785714285713,1058.7142857142858,1029.3571428571431,1018.2857142857142,1044.3571428571427,1085.1428571428569,1092.8928571428573,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,1307.7857142857142,1265.9999999999995,1238.6071428571427,1179.0,1189.7857142857142,1240.142857142857,1205.9999999999995,1169.5714285714284,1092.928571428571,1060.5714285714284,1047.892857142857,1076.4285714285713,1123.4285714285716,1133.2142857142858,1125.6428571428573,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,1313.428571428571,1284.2142857142856,1220.6785714285713,1232.2857142857142,1286.2142857142858,1249.7142857142853,1210.4642857142858,1127.1428571428569,1091.7857142857142,1077.5,1108.4999999999998,1161.7142857142858,1173.5357142857142,1165.8571428571427,1150.1071428571427,,,,,,,,,,
