data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_46,yhat_model_42_to_46,yhat_model_43_to_46,yhat_model_44_to_46,yhat_model_45_to_46,yhat_model_46_to_46
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,25.01505602517528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,26.29129916119804,23.916452008277993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,27.56409993357696,25.631449981361108,24.719758456299324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,28.832730624086288,27.346447954444223,26.81266008977204,30.974159901448733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,30.101275631995897,29.061445927527334,28.90556172324476,33.415115339526054,37.96697615771073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,31.368613652020045,30.776443900610452,30.997852396515512,35.85593447722068,40.71849007992783,45.051017450285045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,32.63586982803386,32.49144187369357,33.08851083963848,38.296753614915296,43.467952361096124,48.09324993486942,54.43255954712374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,33.903126004047685,34.206439846776675,35.17916928276145,40.73757275260992,46.2173738622923,51.13548241945378,57.90598320677528,59.41676488828701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,35.1703821800615,35.92143781985979,37.26982772588442,43.178391890304546,48.966795363488465,54.17771490403815,61.378338061915294,62.9679659495223,56.06333666323498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,36.43763835607532,37.636435792942905,39.36048616900739,45.619211027999164,51.71490004749824,57.219947388622515,64.85014846504023,66.51916701075758,59.191595903781334,59.66326191436331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,37.70489453208914,39.35143376602602,41.451144612130356,48.06003016569379,54.461663920669345,60.262179873206875,68.32195886816517,70.07020315075354,62.319147424729465,62.84456010810691,72.61348561937983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,38.97551824367584,41.066431739109134,43.541803055253325,50.500849303388414,57.20826965934254,63.30441235779124,71.79304097961277,73.62010488627337,65.44605812792653,66.0258583018505,76.30894723963327,79.58890586621374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,40.2483931617326,42.78142971219225,45.632461498376294,52.941668441083024,59.95487539801574,66.34664484237561,75.26211005914976,77.17000662179318,68.57161903825732,69.20715649559413,80.00440885988674,83.44147040062865,73.15620076236623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,41.52126807978936,44.496427685275364,47.72311994149926,55.382487578777656,62.701481136688926,69.38887732695999,78.73117913868676,80.719908357313,71.6971799485881,72.38845468933773,83.69987048014018,87.29372729656589,76.49972034251265,93.4449145956998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,42.79414299784612,46.21142565835847,49.81377838462224,57.823306716472274,65.44808687536214,72.43098270596629,82.20024821822376,84.26981009283283,74.82274085891888,75.56975288308135,87.39533210039363,91.14598419250316,79.84323992265907,97.56315549075322,106.7234711816393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,47.92642363144159,51.9044368277452,60.26412585416689,68.19469261403532,75.47216322046656,85.66931729776077,87.81971182835265,77.94808825476947,78.75105107682496,91.09079372064708,94.99824108844042,83.18675950280549,101.68139638580665,111.20368277977074,70.91351397063598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,53.99509527086818,62.70485985519029,70.94129835270853,78.51334373496685,89.13838637729776,91.36961356387248,81.07239736851669,81.93234927056855,94.78625534090054,98.85049798437768,86.5302790829519,105.79963728086007,115.68389437790218,73.75062251270155,106.95778092998076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,65.1454471868684,73.68790409138171,81.55452424946712,92.60745545683476,94.91867378884068,84.19670648226389,85.11364746431217,98.48171696115399,102.70275488031494,89.87379866309833,109.91787817591349,120.16410597603362,76.58773105476716,111.11725615087106,97.72861776351202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,76.43450983005489,84.5957047639674,96.07652453637176,98.46669243616684,87.32052850377005,88.29476105659599,102.17573873218015,106.5550117762522,93.21731824324476,114.0361190709669,124.64431757416507,79.42483959683275,115.27673137176137,101.36730343025194,125.42454139429444,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,87.63688527846769,99.54559361590877,102.014711083493,90.44414217385255,91.47511724825944,105.86942732927298,110.40726867218946,96.56083782339118,118.15435996602032,129.12452917229652,82.26194813889835,119.43620659265167,105.00598909699185,129.95331987402935,139.30603531312227,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,103.01466269544576,105.56272973081917,93.5677558439351,94.65547343992287,109.56311592636585,114.2595255681267,99.90435740353762,122.27202108434055,133.60474077042798,85.09905668096395,123.595681813542,108.64467476373174,134.48209835376431,144.132824089633,100.34847913464469,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,109.11074837814533,96.69136951401765,97.83553137927326,113.2568045234587,118.11178246406396,103.24787698368404,126.38855231842763,138.0849523685594,87.93616522302956,127.75515703443229,112.28336043047167,139.01087683349922,148.95961286614371,103.7187018676699,110.8561370664136,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,99.81498318410016,101.01405789205073,116.95049312055154,121.96403936000124,106.59139656383046,130.50487030913453,142.56516396669087,90.77327376509515,131.9146322553226,115.92204609721158,143.5396553132342,153.78640164265443,107.08892460069512,114.46476721558713,100.48731903953234,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,104.1925844048282,120.6441817176444,125.8162962559385,109.93491614397689,134.62118829984146,147.0453755648223,93.61038230716076,136.0738708953163,119.5607317639515,148.0684337929691,158.61319041916516,110.45914733372032,118.0733973647607,103.6400028936772,141.50559199266803,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,124.33787031473723,129.66855315187576,113.27843572412331,138.7375062905484,151.52558716295377,96.44749084922636,140.23298430325377,123.1994174306914,152.59721227270404,163.4399791956759,113.82937006674553,121.68202751393422,106.79268674782209,145.8027348377231,160.2655280425274,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,133.520810047813,116.62195530426972,142.8538242812553,156.005727992158,99.28459939129196,144.39209771119124,126.83810309743131,157.12599075243898,168.26676797218664,117.19959279977073,125.29064817345319,109.94537060196693,150.09987768277824,165.02346990920412,171.29376523783938,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,119.96547488441614,146.97014227196223,160.48431579564556,102.12170793335756,148.5512111191287,130.47678876417123,161.6547692321739,173.09355674869738,120.56981553279596,128.89925062470286,113.09805445611181,154.39702052783332,169.78141177588085,176.22880499050817,130.18529848189456,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,151.08651598356315,164.96245070906912,104.95881647542315,152.71032452706618,134.11547443091112,166.18354771190883,177.92034552520806,123.94003826582113,132.5078530759525,116.25073831025668,158.6941633728884,174.53935364255761,181.16384474317692,133.8308092647053,148.3389961418661,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,169.44058562249256,107.79592501748876,156.86943793500365,137.75416009765104,170.71232619164377,182.7471343017188,127.31026099884636,136.11645552720222,119.40342216440155,162.99130621794353,179.29729550923435,186.09888449584574,137.47632004751603,152.37771467084306,173.419010337404,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,110.63303355955436,161.02855134294114,141.39261487260407,175.24110467137868,187.57392307822954,130.68048373187156,139.72505797845184,122.5561060185464,167.2884490629986,184.05523737591108,191.03392424851452,141.1218308303268,156.41643319981998,178.02586788575445,147.3250606840955,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,165.18766475087855,145.03064749427463,179.76988315111367,192.40071185474025,134.05070646489676,143.33366042970152,125.70878987269128,171.58559190805371,188.81317924258784,195.9689640011833,144.76734161313755,160.45515172879695,182.6327254341049,151.12402212944343,174.70112552399328,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,148.6686801159452,184.29866163084853,197.22750063125096,137.420929197922,146.9422628809512,128.86147372683612,175.88273475310882,193.57112110926457,200.90400375385204,148.41285239594828,164.49387025777392,187.23958298245537,154.92298357479132,179.08937218302756,183.98355914016796,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,188.82744011058352,202.0542894077617,140.7911519309472,150.55086533220086,132.01415758098102,180.1798775981639,198.3290629759413,205.83904350652082,152.058363178759,168.53258878675086,191.84644053080586,158.72194502013923,183.4776188420619,188.4876146743195,155.68292015547476,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,206.88107818427244,144.1613746639724,154.15946778345054,135.1668414351259,184.477020443219,203.08700484261806,210.7740832591896,155.70387396156974,172.5713073157278,196.4532980791563,162.52090646548712,187.86586550109624,192.99167020847102,159.4069614156308,129.6564088246122,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,147.53159739699763,157.7680702347002,138.31952528927076,188.7741632882741,207.84494670929482,215.7091230118584,159.34938474438047,176.61002584470478,201.0601556275068,166.31986791083503,192.25411216013052,197.49572574262254,163.13100267578685,132.68553948860634,176.51034412700523,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,161.37667268594987,141.47220914341563,193.07130613332922,212.6028885759715,220.64416276452718,162.99489552719126,180.6487443736817,205.66701317585722,170.11882935618297,196.6423588191648,201.9997812767741,166.85504393594286,135.71467015260046,180.54392670528878,183.0050327910585,,,,,,,,,,
