data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50,yhat_model_1_to_51,yhat_model_1_to_52,yhat_model_1_to_53
05/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,83787521341.03528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,95223125021.65457,58681032449441.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,108219498485.735,67495464705745.5,22.784167689084736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,122989660860.64401,77633905977533.03,25.5198677812353,24.160596424092947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,139775704843.15384,89295234629526.06,28.669528165272194,27.815519435124404,31.73193388211176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,158852764758.312,102708202390971.42,32.29578842795067,32.04631225347072,36.067065443598054,33.90853183094944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,180533526192.37808,118135921610498.38,36.470766644436054,36.94370894766792,41.08958319428619,39.416592923407535,46.22750250068373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,205173351115.68243,135881026538038.47,41.277493642914834,42.612739649508924,46.90848031383032,45.81937682927152,52.51001798332887,68.21956555055044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,233176102499.54977,156291609878889.78,46.811564299061885,49.174983042308874,53.65003213476711,53.26222124530826,59.80816584908248,76.34938750922171,117.40687691731765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,265000763896.59695,179768051072950.75,53.18303870085758,56.77117375130644,61.460536431487974,61.91407234879387,68.28613337937158,85.83076507457494,129.18240505229548,121.78449054933522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,301168962483.6899,206770870244468.66,60.51863099360244,65.56422055459498,70.50948821431626,71.97131973066844,78.13465039584807,96.8883898286939,143.0285938091704,142.20067581681346,196.34985461108425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,342273518875.1921,237829761887472.56,68.96422943628193,75.74270014348176,80.99325792459332,83.66225427061593,89.57528013137144,109.78430757483515,159.3095572524605,166.58365162871806,222.96538049791667,240.85608122117029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,388988163843.57965,273553985494071.47,78.687797787475,87.52490135986079,93.1393528509352,97.25225014400588,102.86540376382973,124.82412835129013,178.45343686410726,195.7041509607345,254.85749768786417,281.4983663244621,314.1137855941444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,442078581210.8779,314644316950949.0,89.88271572277853,101.16350664377896,107.21135424324821,113.04978858780471,118.30401075043595,142.36426883920302,200.96366040596195,230.48265740259157,293.072302955362,330.6673848635044,370.13333780292675,375.06762699473484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,361906795145833.56,102.77162471705768,116.95101109005645,123.51463726434497,131.4134601597704,136.23842522832433,162.82039879637387,227.43218059013586,272.0185011577316,338.86328424816514,390.1520417411483,438.24932165779325,451.3315652780585,437.2002330521588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,117.6108558773802,135.2259953316729,142.40299790728642,152.7601044362016,157.07211980606274,186.67729168232444,258.5550416953303,321.6246082898953,393.7324364806698,462.11655331750535,521.0737476586322,544.4705595877818,534.9216269538066,524.5246516511564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,156.38038677889608,164.28633068855217,177.5742719123909,181.27379253385797,214.50031291671024,295.1506834853989,380.8690016219359,459.47952863103905,549.1791875876545,621.7826437818197,658.2185833103327,654.4853487046753,641.1699731455228,620.9679456783065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,,,189.63952372992796,206.41922288279767,209.38791125810823,246.94881802212416,338.1814637693969,451.6243651083359,538.2611381575005,654.5075240137996,744.2378450801444,797.1358327038583,800.7735153809193,783.7552213596213,757.9200935018406,717.6684833379218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,239.94971296607585,242.046962577874,284.7917781631607,388.77896558318446,536.1272383850389,632.6613891280671,781.9336988280736,893.1350815931033,966.7915466891304,979.7594769762562,958.0489928355565,925.0765230826102,873.7269810677094,798.8113197921198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,279.98568096946525,328.9260033788901,448.27375449706966,637.0487126050261,745.776714352703,936.0938287488891,1074.1840432226272,1173.9872794977719,1198.7517247847034,1171.1027214351034,1129.0986753032068,1063.7207222686952,968.5281733560062,878.6408062845336,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,380.397395366551,518.2303685792143,757.5788622176254,881.3174218097691,1122.596685731304,1294.3273264344416,1427.029577252841,1466.6923172911816,1431.5359594434772,1378.1171468099294,1295.0289959011227,1174.3033671936903,1060.5902783865881,952.952279457599,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,600.48846114799,901.5275815354655,1043.7293968580516,1348.2277596053952,1562.0066586277183,1736.0629901769441,1794.5220091235576,1749.885100316811,1682.0557067977513,1576.6357325894376,1423.797919501055,1280.2179577394625,1144.7052708167655,1068.6583791007083,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,1073.445013479649,1238.3399322017556,1621.1961329658948,1887.4866089494237,2113.476770998518,2195.626992289974,2139.0296514110587,2053.0267744800817,1919.4784372747938,1726.3005218319925,1545.3262703971302,1375.0427857536674,1279.6204630962873,1231.5122932459992,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,1471.5324689928623,1951.433150304459,2283.2481987345045,2574.4015642312097,2686.3854913803934,2614.7133024833147,2505.814117628916,2336.872997995357,2093.0733574338537,1865.333373542237,1651.7287994176274,1532.228223347368,1471.978610135164,1373.4387498945575,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,,2350.953747793766,2764.467505159996,3137.3159987654326,3286.836531724501,3196.1808709258435,3058.4620084648104,2845.030870215506,2537.771392752779,2251.6077420700817,1984.0895534972415,1834.702863958165,1759.3986195496616,1636.3686328959882,1556.8310967599627,,,,,,,,,,,,,,,,,,,,,,
