data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50
05/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,16.492857142857144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,18.314285714285713,17.857142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,20.135714285714286,20.035714285714285,22.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,21.957142857142856,22.214285714285715,24.56,24.218181818181822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,23.77857142857143,24.392857142857146,26.76,26.63636363636364,31.69272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,25.599999999999998,26.571428571428573,28.96,29.05454545454546,34.21090909090909,33.144289044289046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,27.42142857142857,28.75,31.16,31.472727272727273,36.72909090909091,35.89254079254079,46.75824175824176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,29.24285714285714,30.92857142857143,33.36,33.89090909090909,39.24727272727273,38.64079254079254,49.620879120879124,69.45318681318682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,31.06428571428571,33.10714285714286,35.56,36.30909090909091,41.76545454545455,41.389044289044286,52.48351648351649,72.64879120879121,120.12880952380951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,32.88571428571428,35.28571428571429,37.760000000000005,38.727272727272734,44.28363636363637,44.13729603729603,55.34615384615385,75.8443956043956,123.96095238095236,128.12617647058823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,34.70714285714285,37.464285714285715,39.96000000000001,41.145454545454555,46.80181818181819,46.88554778554778,58.20879120879121,79.04,127.79309523809522,133.27029411764707,204.90882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,36.52857142857142,39.642857142857146,42.16000000000001,43.56363636363636,49.32000000000001,49.633799533799525,61.07142857142858,82.2356043956044,131.62523809523807,138.41441176470587,211.04852941176472,255.25276917784657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,38.349999999999994,41.82142857142858,44.36,45.981818181818184,51.83818181818183,52.38205128205128,63.934065934065934,85.43120879120879,135.45738095238096,143.5585294117647,217.18823529411765,263.1588579291366,334.6775438596491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,40.171428571428564,44.0,46.56,48.400000000000006,54.356363636363646,55.130303030303025,66.7967032967033,88.62681318681318,139.2895238095238,148.70264705882352,223.32794117647057,271.0649466804266,344.46526315789475,403.94105263157894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,41.99285714285713,46.17857142857143,48.760000000000005,50.81818181818183,56.87454545454547,57.87855477855477,69.65934065934067,91.82241758241757,143.12166666666667,153.84676470588235,229.46764705882353,278.9710354317166,354.2529824561404,415.9884210526316,455.33558441558444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,48.35714285714286,50.96000000000001,53.23636363636365,59.39272727272729,60.626806526806526,72.52197802197801,95.01802197802198,146.95380952380953,158.99088235294118,235.60735294117646,286.8771241830066,364.04070175438596,428.03578947368425,469.74337662337655,531.6459627329192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,53.16000000000001,55.654545454545456,61.91090909090911,63.37505827505827,75.3846153846154,98.21362637362637,150.78595238095238,164.135,241.74705882352941,294.78321293429656,373.8284210526316,440.08315789473687,484.1511688311688,548.2603049124788,598.5679841897233,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,58.07272727272728,64.42909090909093,66.12331002331003,78.24725274725276,101.40923076923076,154.61809523809524,169.27911764705883,247.88676470588234,302.68930168558654,383.6161403508772,452.1305263157895,498.558961038961,564.8746470920383,617.4632411067195,637.3542898550725,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,,,66.94727272727276,68.87156177156177,81.10989010989012,104.60483516483517,158.4502380952381,174.42323529411763,254.02647058823533,310.5953904368765,393.4038596491228,464.1778947368421,512.9667532467532,581.4889892715979,636.3584980237155,658.4668985507246,694.4956923076924,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,71.61981351981352,83.97252747252749,107.80043956043956,162.28238095238095,179.56735294117647,260.16617647058825,318.5014791881665,403.19157894736844,476.22526315789474,527.3745454545455,598.1033314511575,655.2537549407115,679.5795072463768,717.5272307692309,744.2523076923077,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,86.83516483516485,110.99604395604395,166.1145238095238,184.71147058823524,266.3058823529412,326.4075679394565,412.979298245614,488.2726315789474,541.7823376623376,614.7176736307171,674.1490118577076,700.692115942029,740.5587692307694,769.0830769230769,881.6525844525845,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,114.19164835164834,169.94666666666666,189.8555882352941,272.4455882352941,334.3136566907465,422.76701754385965,500.32000000000005,556.1901298701298,631.3320158102766,693.0442687747036,721.8047246376811,763.5903076923078,793.9138461538462,908.119006919007,1060.103886152162,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,173.7788095238095,194.9997058823529,278.5852941176471,342.21974544203647,432.5547368421052,512.3673684210527,570.597922077922,647.9463579898362,711.9395256916997,742.9173333333333,786.6218461538461,818.7446153846154,934.5854293854293,1088.600328407225,1142.1158620689655,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,200.14382352941172,284.725,350.12583419332645,442.34245614035086,524.4147368421053,585.0057142857142,664.5607001693958,730.8347826086957,764.0299420289855,809.6533846153847,843.5753846153846,961.0518518518518,1117.096770662288,1173.1572413793103,1331.9181905821283,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,290.86470588235295,358.03192294461644,452.1301754385965,536.4621052631579,599.4135064935065,681.1750423489553,749.7300395256917,785.1425507246377,832.6849230769232,868.4061538461538,987.5182743182743,1145.593212917351,1204.198620689655,1365.357122728958,1490.321129032258,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,,365.9380116959064,461.9178947368421,548.5094736842105,613.8212987012986,697.7893845285149,768.6252964426878,806.2551594202898,855.7164615384615,893.236923076923,1013.9846967846968,1174.0896551724138,1235.2399999999998,1398.7960548757878,1526.5606451612905,1549.9386363636363,,,,,,,,,,,,,,,,,,
