data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50,yhat_model_1_to_51,yhat_model_1_to_52,yhat_model_1_to_53
05/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,18.561799792381564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,18.226930875286605,18.33250232948719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,18.12515798715507,17.881637843976865,25.277708564882182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,18.107080001301863,17.703548672043,24.73735521394095,27.30780228173965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,18.105158900822623,17.656247890571603,24.47933769723572,26.69727901478399,35.32276433368051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,18.105035712990997,17.64770850913303,24.388750218939244,26.362223015613523,34.66155238223558,37.1744573704013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,18.10503093105721,17.64665698641295,24.36524275703447,26.218540851085155,34.25694781583135,36.46889668501736,51.08836417948528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,18.105030818549672,17.6465685699958,24.36072677520407,26.17025073749427,34.055400236735345,36.00123487739122,50.376083814574535,74.86143796587011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,18.10503081694459,17.646563491596506,24.36008420865449,26.157519586168146,33.97336619754683,35.740537622843085,49.86578808079155,74.11915352102551,127.42740349383324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,18.105030816930704,17.646563292322224,24.360016480740665,26.15488601341955,33.94604859200287,35.61790187545269,49.55225481419395,73.56021046383499,126.66530523699856,139.05011330368035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,18.10503081693063,17.646563286979994,24.36001119238749,26.154458524289062,33.93860261207569,35.5691597104357,49.38620329205363,73.19224247167044,126.06648626637175,138.25455910571995,219.0695762274699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,18.10503081693063,17.64656328688215,24.360010886485504,26.154404071886486,33.93694110363079,35.552784272974286,49.310204483320064,72.97930274246843,125.64904445147059,137.61346018382363,218.2501177008116,274.99966424612023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,18.10503081693063,17.646563286880923,24.360010873376947,26.15439862906321,33.936637567736774,35.548133213778854,49.28010457146404,72.8706861811849,125.38932443844378,137.14763497606378,217.57415021508214,274.16007736617235,360.9382486180531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,18.10503081693063,17.646563286880912,24.360010872960807,26.154398202142197,33.936592167983825,35.54701633143485,49.26978064710964,72.82178155107499,125.24466096068323,136.84104451854526,217.06509988535188,273.4537828240408,360.089019813958,438.6842404181862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,18.10503081693063,17.646563286880912,24.36001087295102,26.154398175864507,33.936586608478486,35.5467895701085,49.26671282138115,72.80233012241173,125.1724070060516,136.6578395137016,216.71378399253462,272.90565615039054,359.3600078751615,437.83006534457246,499.625572761526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,17.646563286880912,24.36001087295085,26.154398174595265,33.936586051088405,35.5467506440895,49.26592281771403,72.79549287249843,125.14001848602372,136.5583273779934,216.49116024895233,272.51200173671145,358.77839241759335,437.0831126874222,498.75858150773104,585.2823711132613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,24.360010872950845,26.154398174547158,33.93658600533503,35.546744994437645,49.26574649776593,72.79336846025102,125.12698229492402,136.50916378702942,216.3615002928922,272.24995897021006,358.3458014394628,436.47242755319826,497.99096316506024,584.4069993331741,662.5409002763856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,26.154398174545726,33.93658600226015,35.546744301148294,49.26571238764758,72.79278491045102,125.12226980669385,136.48706437905614,216.29205893736216,272.0881515220971,358.0453571089074,436.00415513541185,497.3515130471356,583.6227196195584,661.6608985560181,712.685535327304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,,,33.93658600209096,35.54674422921686,49.265706667661306,72.79264319121998,125.1207396035496,136.47802453342618,216.25785152843653,271.9954321250198,357.8503418521149,435.66679677872156,496.8489077171022,582.9582016525285,660.8635204249849,711.8041526447278,780.8259604491476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,35.54674422290679,49.265705836187436,72.79261276080464,125.12029324983826,136.47465923528364,216.24235018111483,271.94611717468547,357.731985930901,435.4382286207095,496.4755845390388,582.4243161680193,660.1773636119182,710.9969089043271,779.9362764826965,840.7835595780842,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,49.265705731414066,72.79260698351311,125.12017628436126,136.47351901526972,216.23588775291722,271.9217688752752,357.66480676044125,435.2925126767625,496.21330786688054,582.0169905373576,659.6151863457136,710.292330041769,779.1156881169189,839.8888315688386,988.3344235226963,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,72.79260601371129,125.12014874879596,136.47316740050627,216.23340910757287,271.9106088722572,357.6291403294713,435.20507496546395,496.0389405816834,581.7216276005759,659.1759914106176,709.7047831110816,778.3916809166217,839.0577983977755,987.4374389841972,1178.2840704870007,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,125.12014292517597,136.47306871246658,216.232534459463,271.9058601395107,357.6114271811691,435.1556818360187,495.92921143863015,581.5179692595208,658.8485359653821,709.2359692805176,777.7791989045421,838.3171075717025,986.5985462687643,1177.383079572158,1274.6349031301202,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,136.4730435018254,216.23225049973874,271.90398421620773,357.60319794553277,435.1294122339078,495.8638383054958,581.3844013792873,658.6154155795224,708.8777079207948,777.2817129499861,837.6822293684226,985.843696403324,1176.535770388351,1273.7323549123998,1476.5845539319826,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,216.23216568200579,271.9032962303125,357.5996214326722,435.1162574328646,495.8269629676023,581.3010667091573,658.456899532539,708.6153566444112,776.8934078829466,837.1582014909559,985.1888274230749,1175.7671793022857,1272.8788782947076,1475.6787814975478,1649.735361346909,,,,,,,,,,,,,,,,,,,,,,
