data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_53,yhat_model_48_to_53,yhat_model_49_to_53,yhat_model_50_to_53,yhat_model_51_to_53,yhat_model_52_to_53
05/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,83787521341.03528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,95223125021.65457,4.575850643259942e+49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,108219498485.735,8.548503983729647e+49,30.015720559475806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,122989660860.64401,1.5970127973359715e+50,44.21912925594062,21.248078786475784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,139775704843.15384,2.983504341472065e+50,65.14357662276062,23.437706310988,241.7967851677569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,158852764758.312,5.573717487067858e+50,95.9694513802613,25.852976292132723,570.6593013358339,64.19234018119627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,180533526192.37808,1.0412696973089662e+51,141.3820989836532,28.517141323177615,1346.8005291102897,97.33913003974983,42.556676368232885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,205173351115.68243,1.945277249967488e+51,208.28396563215918,31.45585019135906,3178.5544561627853,147.60181993911468,51.41201517991028,39.66501947420007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,233176102499.54977,3.634124366646435e+51,306.8437281050295,34.697394807137314,7501.636814374124,223.81849149917494,62.11000318700593,41.38452768666317,86.62333254119235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,265000763896.59695,6.789191572807468e+51,452.04187077786275,38.27298257966252,17704.448884197798,339.39091779241045,75.03406513809053,43.178577864110075,115.2090872976914,96.43193494263642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,301168962483.6899,1.268341904732738e+52,665.9476281242606,42.21703686069925,41783.88237785199,514.6411018519412,90.64741011517276,45.05040145638405,153.2281592797789,109.5334043932864,154.31369188960355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,342273518875.1921,2.3694885761425688e+52,981.0733741128627,46.56752834948133,98613.2264260694,780.3846533023014,109.50963333075558,47.003369999092016,203.79354916337203,124.41487029291798,198.44072021138265,171.70033099176362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,388988163843.57965,4.4266266781221015e+52,1445.3163052839964,51.366340649039785,232734.9176943369,1183.3493378555654,132.2967724836214,49.04100118642702,271.04554982463054,141.3181671449295,255.186166281239,194.03059177470843,321.84487773995886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,442078581210.8779,8.269727039309982e+52,2129.2385232742754,56.65967349333423,549272.5862163918,1794.3915855822931,159.82553750974492,51.16696520725205,360.49075341851056,160.5179856570491,328.15835072534094,219.26498526231438,436.02847854911784,465.60545182818856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,1.5449322989601394e+53,3136.7920450495285,62.4984875271868,1296326.2107711853,2720.9557308270846,193.0825821426694,53.385091355857895,479.45293100855855,182.3263366625195,421.9974174936025,247.78120461491943,590.7219510247124,656.8892761368426,783.3782158292994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,4621.118877163273,68.93899492106067,3059431.122000952,4125.966789304929,233.25986640030905,55.69937492930221,637.6727027609079,207.09762152011254,542.6703906137046,280.0060633802108,800.297321366668,926.7578792501181,1232.906573671156,449.20193733694595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,76.04320054399166,7220496.440243742,6256.4788370417855,281.7973774189852,58.113984423753436,848.1050996831692,235.23439139061296,697.8506043897655,316.4218837806141,1084.2254997899513,1307.4961001087422,1940.3891870957702,506.8975884648213,979.1991281402951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,,,17040935.639523227,9487.116459545221,340.43473978476385,60.63326904280155,1127.980321243717,267.1938889821491,897.4056341943017,357.5737158210003,1468.885254279361,1844.6522981631854,3053.8487488042424,572.0036888414329,1445.3054130653552,740.2955508704554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,14385.94792075259,411.2735651191046,63.26176653125978,1500.214543679072,303.4954790724276,1154.0247543210235,404.07749526795175,1990.013969102685,2602.487380907462,4806.248273590766,645.472039113703,2133.2818596390002,911.7843095217512,888.3169312444641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,496.8527755795986,66.00421134856737,1995.286295938775,344.7290885591926,1484.02582159112,456.62926260429623,2696.0278794320698,3671.662445289416,7564.232667527889,728.3766895305779,3148.740364164848,1122.9982756380698,1125.21440471875,851.4591188435872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,68.86554319651549,2653.7320408838364,391.56479319578773,1908.3928927026805,516.0155809426508,3652.5202533891975,5180.08471858485,11904.83982338028,821.9296417239044,4647.5648944948825,1383.1397556594973,1425.2879935687495,1011.3647711958738,830.2377833909612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,3529.4652998657107,444.7637068031562,2454.110555174384,583.1253088270129,4948.355431780108,7308.209317047163,18736.23108246604,927.4985672314338,6859.8413811328155,1703.542761540604,1805.3855834870833,1201.3010111457636,936.1062920410352,981.526099934737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,505.1903499157899,3155.8798191126093,658.9629041305831,6703.924901308014,10310.62739768589,29487.700832911323,1046.6268017930074,10125.17841978763,2098.166818300767,2286.84807545583,1426.9076405275937,1055.4747176402188,1130.2210591303976,1078.5385922073294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,4058.3246796616,744.6634581745263,9082.332443975258,14546.523330405162,46408.719906588245,1181.055907721012,14944.84089887271,2584.2051616227855,2896.70758869968,1694.8836267557026,1190.064514093518,1301.4423585748498,1211.3085762322658,1120.0700477492594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
