data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_53,yhat_model_48_to_53,yhat_model_49_to_53,yhat_model_50_to_53,yhat_model_51_to_53,yhat_model_52_to_53,yhat_model_53_to_53
05/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,18.85084668711986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,17.248172744606943,18.767624994170006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,17.109398644791227,16.784467229775345,18.844975489771503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,17.105128086661264,16.611162621392445,17.213205586347396,18.496303899860262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,17.105080318720876,16.605810161857637,17.07415665247056,15.273638004939109,18.68496211486172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,17.10508012301383,16.60575021113404,17.06990064728853,14.986837617509664,16.31583284769273,18.236110375728728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,17.105080122719325,16.605749965390114,17.06985313345199,14.977923876175304,16.115936039445337,13.821285831422125,18.494569586690723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,17.105080122719162,16.605749965020244,17.069852938921844,14.977823810299496,16.109840916163417,13.428986623148047,15.249637156301665,17.75033456627161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,17.105080122719162,16.60574996502004,17.069852938629186,14.977823399779982,16.109772967635138,13.416799606566029,14.975858792359674,11.112295632431723,17.35814834408177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,17.105080122719162,16.60574996502004,17.069852938629023,14.97782339916192,16.10977268958877,13.416662816366832,14.967510963252046,10.520614958444911,8.910837130739308,17.722367637450397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,17.105080122719162,16.60574996502004,17.069852938629023,14.977823399161577,16.109772689170548,13.416662255217666,14.967417901527458,10.502214850919957,8.171968993279647,1.4882322530153953,16.704741489276138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,17.105080122719162,16.60574996502004,17.069852938629023,14.977823399161577,16.109772689170317,13.416662254372838,14.96741752071744,10.502008246566366,8.149146739883017,0.045326081826834806,5.223641603618664,32.13372653620681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,17.105080122719162,16.60574996502004,17.069852938629023,14.977823399161577,16.109772689170317,13.41666225437237,14.967417520144645,10.502007398906619,8.14889111390557,0.0005051222720244886,4.258180091073875,2.719620959131452,27.560411426990356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,17.105080122719162,16.60574996502004,17.069852938629023,14.977823399161577,16.109772689170317,13.41666225437237,14.967417520144329,10.50200739763038,8.148890066068601,2.066728376241164e-06,4.228777907150523,0.08307164068918345,2.229961645187007,45.96257421910146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,17.105080122719162,16.60574996502004,17.069852938629023,14.977823399161577,16.109772689170317,13.41666225437237,14.967417520144329,10.502007397629672,8.148890064491496,3.108535146449716e-09,4.228450278116043,0.0009267640554554788,0.06697805869180479,3.8446372495714436,46.847792279823565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,16.60574996502004,17.069852938629023,14.977823399161577,16.109772689170317,13.41666225437237,14.967417520144329,10.502007397629672,8.148890064490624,1.7195539434624995e-12,4.228448937674039,3.7933988263344346e-06,0.0007425809634356966,0.11694383965444256,3.833359249492514,55.40500654820614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,17.069852938629023,14.977823399161577,16.109772689170317,13.41666225437237,14.967417520144329,10.502007397629672,8.148890064490624,3.4989518120705047e-16,4.22844893565794,5.706428179485402e-09,3.0325348046042346e-06,0.0013026584659695335,0.11564004871339865,4.570063974425199,65.91098633960934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,14.977823399161577,16.109772689170317,13.41666225437237,14.967417520144329,10.502007397629672,8.148890064490624,2.6190854856046903e-20,4.228448935656824,3.156804827392351e-12,4.558001342854023e-09,5.329014616143074e-06,0.001284191220310238,0.13829854383674775,5.440477707304546,71.23504666310585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,,,16.109772689170317,13.41666225437237,14.967417520144329,10.502007397629672,8.148890064490624,7.212088239727792e-25,4.228448935656824,6.423599875394808e-16,2.520708940950657e-12,8.014815121118224e-09,5.2475282217500535e-06,0.0015376350872569485,0.16467291295031328,5.849332512107484,75.41463156587584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,13.41666225437237,14.967417520144329,10.502007397629672,8.148890064490624,7.305934042992641e-30,4.228448935656824,4.808319906284027e-20,5.128657962679017e-16,4.433473013073447e-12,7.88897316154252e-09,6.285923637837204e-06,0.001830997388724799,0.17670619640123994,6.189783327227129,85.07571045876692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,14.967417520144329,10.502007397629672,8.148890064490624,2.722671127495103e-35,4.228448935656824,1.3240545408760397e-24,3.838842727781976e-20,9.021167534945039e-16,4.363193411866184e-12,9.451596520559695e-09,7.485384413690611e-06,0.0019633954859484422,0.18697129435301674,7.0057520610798525,88.72890564151828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,10.502007397629672,8.148890064490624,3.7326721840166515e-41,4.228448935656824,1.3412848473283906e-29,1.0570757555921632e-24,6.752633542998e-20,8.877662886648211e-16,5.227753227213699e-12,1.1255220537365755e-08,8.024541252368689e-06,0.002077387102691915,0.21187539201307795,7.277215101434291,114.87577987316783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,8.148890064490624,1.8825647624998391e-47,4.228448935656824,4.998510566080973e-35,1.0708256862905955e-29,1.8594481346204168e-24,6.64507782177073e-20,1.0636991256113972e-15,6.225372090589554e-12,1.2064745944561633e-08,8.490345185279195e-06,0.002355139082691512,0.21975403926170797,9.522433671385091,131.1892064279562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
