data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_53,yhat_model_48_to_53,yhat_model_49_to_53,yhat_model_50_to_53,yhat_model_51_to_53,yhat_model_52_to_53,yhat_model_53_to_53
05/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,17.020925039262714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,18.183809677918475,16.270898181345228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,19.34542776357006,17.694113342568244,16.958036125716745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,20.50612876341777,19.11076494522871,18.433528556415503,20.634285345049804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,21.66682976326548,20.525779157647737,19.909020987114257,22.282425298872518,23.853394615672755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,22.827530763113188,21.938506237714684,21.38451341781301,23.927200963894897,25.609709452922697,28.978283730936703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,23.9882317629609,23.350025370381275,22.860005848511765,25.571108301611694,27.36513612047883,30.922626589928786,32.24576731405487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,25.148932762808613,24.761544503047876,24.3351317692586,27.21486449485764,29.120107632610996,32.86696944892087,34.28231011360702,38.59627815985515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,26.30963376265632,26.173063635714474,25.80859554879093,28.8580381464936,30.87507914474316,34.81131230791296,36.318852913159155,40.86509739575847,46.265926404499524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,27.47033476250403,27.584582768381075,27.280038316647918,30.50121179812956,32.63005065687533,36.755655166905036,38.3553957127113,43.133916631661776,48.91785018169951,55.355470316348324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,28.631035762351736,28.996101901047666,28.75148108450491,32.14438544976552,34.384849937877135,38.699998025897116,40.39144948906391,45.4027358675651,51.56977395889948,58.274951636971714,63.802685835902416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,29.79173676219945,30.40762103371427,30.22292385236189,33.78755910140148,36.13895824349726,40.6443408848892,42.42450308835361,47.671555103468414,54.22169773609946,61.1944329575951,67.0205390145274,72.48281132784395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,30.95243776204716,31.819140166380862,31.69436662021888,35.43073275303744,37.892716873427794,42.58868374388129,44.457553633034856,49.94037433937172,56.873621513299426,64.11391427821847,70.23839219315238,75.97258427121919,79.95772384329631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,32.113138761894874,33.23065929904746,33.16580938807587,37.07390640467341,39.64506322393726,44.53302660287337,46.48942732887044,52.20919357527504,59.52554529049941,67.03339559884186,73.45625549201888,79.46235721459443,83.61426107993302,88.87731943775749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,33.27383976174258,34.64217843171405,34.637252155932856,38.717080056309364,41.39740957444672,46.477369461865464,48.52007546202784,54.47684361067623,62.17746906769938,69.95287691946525,76.67412561171503,82.95213015796968,87.27079831656975,92.74867718772825,100.40662987923089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,36.053697564380656,36.10869492378985,40.360253707945326,43.149755924956196,48.42171232085754,50.55072359518525,56.744119310124304,64.82939284489935,72.87135595052267,79.89199573141117,86.44190310134492,90.92733555320645,96.62003493769899,104.62582241025201,96.21178183008185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,37.58013769164683,42.00342735958129,44.90210227546565,50.366055179849624,52.58137172834263,59.01139500957239,67.48131662209933,75.7897970201026,83.10986585110732,89.93167604472016,94.58387278984317,100.49139268766976,108.84501494127315,100.10811879999473,95.32089472234534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,43.64660101121725,46.65444862597512,52.31039803884171,54.612019861500045,61.27867070902049,70.13324039929931,78.70823808968255,86.32773597080346,93.42144898809539,98.2404100264799,104.3627504376405,113.06420747229429,104.0044557699076,99.00308868768256,92.22882146509151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,,,48.40679497648458,54.25474089783379,56.64266799465743,63.545946408468566,72.78516417649926,81.62667915926251,89.5456060904996,96.91122193147064,101.89680596715444,108.23410818761124,117.2834000033154,107.90079273982046,102.6852826530198,95.66490189902257,87.05746259590943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,56.19908375682587,58.67331612781483,65.81322210791664,75.43708795369925,84.54512022884245,92.76347621019575,100.40099487484589,105.55295304893635,112.10546593758198,121.50259253433653,111.79677112095919,106.367476618357,99.10055955449681,90.18250690704949,144.96039795289906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,60.70396426097223,68.08049780736475,78.08901173089923,87.46356129842239,95.98057792149143,103.89076781822114,109.20910013071826,115.97682368755272,125.72178506535766,115.69193325050774,110.04967058369424,102.53621720997103,93.30755121818956,149.99892273258155,134.63459803077686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,70.34777350681283,80.74093550809918,90.38200236800235,99.19721951463424,107.38054076159636,112.86524721250018,119.84818143752346,129.94097759637876,119.5870953800563,113.73186454903147,105.97187486544526,96.43259552932962,155.03744751226412,139.14774345835608,104.04423673758588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,83.39284195678813,93.3004434375823,102.41386110777705,110.8703137049716,116.52139429428209,123.71953918749422,134.1601701273999,123.48225750960486,117.41405851436869,109.40753252091949,99.55763984046969,160.07597229194658,143.6608888859353,107.41293105736958,104.64723640220824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,96.21888450716223,105.63050270091986,114.36008664834684,120.17754137606401,127.59089693746496,138.37936265842103,127.37741963915344,121.09625247970591,112.84319017639372,102.68268415160973,165.1144970716291,148.1740343135145,110.78162537715326,107.94186321348474,108.7438372241044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
