data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_53,yhat_model_48_to_53,yhat_model_49_to_53,yhat_model_50_to_53,yhat_model_51_to_53,yhat_model_52_to_53,yhat_model_53_to_53
05/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,18.561799792381564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,18.226930875286605,18.21529086732248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,18.12515798715507,17.85115370813157,17.50170680056692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,18.107080001301863,17.74599663058177,17.135881221730564,16.50170680056692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,18.105158900822623,17.727690450997805,17.030610192076296,16.135881221730568,16.191761179628298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,18.105035712990997,17.725760220340586,17.012299450840054,16.030610192076296,15.840513741212305,17.923545663387607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,18.10503093105721,17.72563681373314,17.010369110844227,16.012299450840054,15.736931131203479,17.5594085041967,22.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,18.105030818549672,17.72563202864345,17.010245702659255,16.010369110844227,15.718734342071716,17.454251426646902,22.12564041832903,24.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,18.10503081694459,17.72563191610842,17.010240917555826,16.010245702659258,15.716808563728161,17.435945247062932,22.02036938867476,24.12564041832903,31.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,18.105030816930704,17.725631914503193,17.01024080502072,16.010240917555826,15.716685264881797,17.434015016405713,22.002058647438517,24.02036938867476,31.12564041832903,33.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,18.10503081693063,17.725631914489306,17.010240803415495,16.010240805020725,15.71668048135589,17.43389160979827,22.000128307442694,24.002058647438517,31.02036938867476,33.125640418329034,45.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,18.10503081693063,17.725631914489234,17.010240803401608,16.010240803415495,15.716680368834531,17.43388682470858,22.00000489925772,24.000128307442694,31.002058647438517,33.02036938867476,45.125640418329034,65.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,18.10503081693063,17.725631914489234,17.010240803401537,16.010240803401608,15.716680367229376,17.43388671217355,22.00000011415429,24.00000489925772,31.000128307442694,33.00205864743852,45.02036938867476,65.12564041832903,109.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,18.10503081693063,17.725631914489234,17.010240803401537,16.010240803401537,15.716680367215488,17.433886710568324,22.00000000161919,24.00000011415429,31.00000489925772,33.000128307442694,45.00205864743852,65.02036938867475,109.12564041832903,119.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,18.10503081693063,17.725631914489234,17.010240803401537,16.010240803401537,15.716680367215416,17.433886710554436,22.000000000013962,24.00000000161919,31.00000011415429,33.000004899257725,45.000128307442694,65.00205864743852,109.02036938867475,119.12564041832903,186.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,17.725631914489234,17.010240803401537,16.010240803401537,15.716680367215416,17.43388671055436,22.000000000000075,24.000000000013962,31.00000000161919,33.00000011415429,45.000004899257725,65.0001283074427,109.00205864743852,119.02036938867475,186.12564041832903,233.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,17.010240803401537,16.010240803401537,15.716680367215416,17.43388671055436,22.0,24.000000000000075,31.000000000013962,33.00000000161919,45.00000011415429,65.00000489925772,109.0001283074427,119.00205864743852,186.02036938867477,233.12564041832903,305.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,16.010240803401537,15.716680367215416,17.43388671055436,22.0,24.0,31.000000000000075,33.00000000001396,45.00000000161919,65.00000011415429,109.00000489925772,119.0001283074427,186.00205864743853,233.02036938867477,305.12564041832906,370.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,,,15.716680367215416,17.43388671055436,22.0,24.0,31.0,33.00000000000007,45.00000000001396,65.00000000161918,109.00000011415429,119.00000489925772,186.00012830744268,233.00205864743853,305.02036938867474,370.12564041832906,421.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,17.43388671055436,22.0,24.0,31.0,33.0,45.00000000000007,65.00000000001396,109.00000000161918,119.00000011415429,186.00000489925773,233.00012830744268,305.0020586474385,370.02036938867474,421.12564041832906,493.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,22.0,24.0,31.0,33.0,45.0,65.00000000000007,109.00000000001396,119.00000000161918,186.0000001141543,233.00000489925773,305.0001283074427,370.0020586474385,421.02036938867474,493.12564041832906,558.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,24.0,31.0,33.0,45.0,65.0,109.00000000000007,119.00000000001396,186.00000000161918,233.0000001141543,305.0000048992577,370.0001283074427,421.0020586474385,493.02036938867474,558.125640418329,600.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,31.0,33.0,45.0,65.0,109.0,119.00000000000007,186.00000000001396,233.00000000161918,305.0000001141543,370.0000048992577,421.0001283074427,493.0020586474385,558.0203693886748,600.125640418329,657.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,33.0,45.0,65.0,109.0,119.0,186.00000000000009,233.00000000001396,305.0000000016192,370.0000001141543,421.0000048992577,493.0001283074427,558.0020586474385,600.0203693886748,657.125640418329,708.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,45.0,65.0,109.0,119.0,186.0,233.00000000000009,305.000000000014,370.0000000016192,421.0000001141543,493.0000048992577,558.0001283074427,600.0020586474385,657.0203693886748,708.125640418329,832.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
