data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,1.1615937136918928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,1.2505749661129444,6.990123907563692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,1.3407522367742375,7.007140588536663,9.969423861927819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,1.4309295074355306,7.025910370218853,10.465090187912544,14.392125507371432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,1.521106778096824,7.0462270327465,10.954018965065206,14.958970962000762,13.943381621743642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,1.6112840487581166,7.067772839899999,11.4425076581119,15.523870469248092,14.575576832281921,14.75122299164876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,1.7014613194194095,7.0900497128941815,11.931188889887292,16.080928882478098,15.196248593362258,15.480944229824829,20.370539191385845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,1.7916385900807026,7.113926229162235,12.420749003993173,16.63095817990942,15.810879225482713,16.209277839813637,21.18542371591661,30.6213671589033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,1.8836288211697243,7.138489033364527,12.910309118099054,17.180987477340743,16.424010189027257,16.93726051651726,22.000308240447374,31.577628783611257,50.34512231484412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
