data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,6.185694722214213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,6.6188822676478445,6.036104556746462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,7.089070793679437,6.581668496298476,6.561003338942684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,7.599420761821894,7.176542385560827,7.152939659283457,6.832494295742683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,8.153362586351879,7.825183027786373,7.7982807089373285,7.433001495449938,8.208218352314582,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,8.754619692491167,8.532450047470972,8.501844683738886,8.086287209311964,8.796775595623874,9.171524548954466,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,9.4072335441167,9.303642298726164,9.268884479059604,8.796990135345608,9.435110708791978,9.893204256940049,10.128910977342128,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,10.115590809227923,10.144537564366107,10.105126908572286,9.570156666244921,10.12743370937598,10.678848282052275,10.984926265914908,10.581420118592533,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,10.884452845769196,11.061435843134845,11.016815461347928,10.411276721623139,10.878310681753037,11.534125945210391,11.919266226953503,11.569504195930806,11.236191694171088,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,11.71898770600187,12.061206549382401,12.010756916514834,11.326322729546611,11.6926938918595,12.465209053737457,12.939097501520028,12.64985473022356,12.26854153510114,12.133215827208646,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,12.624804874549485,13.151339978810338,13.09437216351073,12.321792034151619,12.575954448916866,13.47881643801467,14.052242472251955,13.831087485325495,13.39574078970052,13.24101971545935,14.167056849441305,,,,,,,,,,,,,,,,,,,,,
08/04/2020,13.60799297361446,14.340003425868817,14.275751607358153,13.404753030462153,13.533917729558787,14.582262435533188,15.267239263159803,15.122622757846228,14.62650395659821,14.44996986800639,15.36509673540966,18.631617995428254,,,,,,,,,,,,,,,,,,,,
09/04/2020,14.67516068880906,15.636102373237495,15.563715572625734,14.582895353991917,14.57290179799221,15.783509672211409,16.593407229355353,16.534760503739715,15.970346198163924,15.769301282929856,16.672162869671034,20.007973985824734,18.03919542797107,,,,,,,,,,,,,,,,,,,
10/04/2020,15.833481190691378,17.04934721182261,16.967880157058808,15.864584481505155,15.699759075585478,17.09122652185528,18.040918439034456,18.07876248015118,17.437656903251412,17.20909214505659,18.098177061136855,21.51196555744915,19.81690903251593,29.641139052830205,,,,,,,,,,,,,,,,,,
11/04/2020,,18.59032599113748,18.49872902655065,17.25892113063254,16.92192153470722,18.514849658397477,19.62087569600057,19.766942057600378,19.039780008680722,18.78034081177912,19.653964041579943,23.155428922523527,21.769811473636267,31.590632718848674,33.09544389807236,,,,,,,,,,,,,,,,,
