data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,7.106773109511182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,6.67720003725458,7.01161232521616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,6.641723820820079,6.148967370045236,7.083879616971827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,6.640650634937606,6.072091636452086,6.549000648988267,7.036589640525447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,6.640638705901835,6.069700906253418,6.504636752538211,6.287528420838257,9.46605132557108,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,6.640638657140448,6.069674061602476,6.50329271073609,6.221602485626263,8.850355434704898,10.548961652973002,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,6.640638657067133,6.06967395146288,6.503277763035303,6.219560828169741,8.797929970140137,9.399153774824708,11.796901656813624,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,6.640638657067092,6.069673951297053,6.503277701922908,6.219537937161779,8.796325931570077,9.296979690860843,10.86324017570604,11.725231641636714,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,6.640638657067092,6.069673951296961,6.503277701831015,6.219537843294063,8.796308026837844,9.293805689416011,10.783864139457977,10.465455616088342,12.980202608034208,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,6.640638657067092,6.069673951296961,6.503277701830965,6.219537843152763,8.79630795353682,9.293770064201125,10.781437135792567,10.354850304236823,11.96975940214119,14.094599773338373,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,6.640638657067092,6.069673951296961,6.503277701830965,6.219537843152684,8.796307953426545,9.293769918058167,10.781410051917806,10.351428359652784,11.883871387242012,12.69451681149104,16.510827357138304,,,,,,,,,,,,,,,,,,,,,
07/04/2020,6.640638657067092,6.069673951296961,6.503277701830965,6.219537843152684,8.796307953426485,9.293769917838146,10.781409941048624,10.351390007304218,11.881245077712528,12.571450479717916,15.182754235527995,21.211871103083812,,,,,,,,,,,,,,,,,,,,
08/04/2020,6.640638657067092,6.069673951296961,6.503277701830965,6.219537843152684,8.796307953426485,9.293769917838024,10.781409940881838,10.351389850057112,11.881215768367406,12.567641511389072,15.068511844500518,19.43224323577812,21.0978238678926,,,,,,,,,,,,,,,,,,,
09/04/2020,6.640638657067092,6.069673951296961,6.503277701830965,6.219537843152684,8.796307953426485,9.293769917838024,10.781409940881746,10.351389849820418,11.881215648385844,12.567598815359355,15.065003517429316,19.276109860852884,18.79482156815304,33.21408878642513,,,,,,,,,,,,,,,,,,
10/04/2020,6.640638657067092,6.069673951296961,6.503277701830965,6.219537843152684,8.796307953426485,9.293769917838024,10.781409940881746,10.351389849820286,11.881215648205346,12.567598640293905,15.064964303690026,19.271280954905073,18.59324183333366,31.439560021511657,37.43713225055003,,,,,,,,,,,,,,,,,
