data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,6.512537089969685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,7.18581633629652,7.134158321976863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,7.859095582623354,7.793436481599476,7.62178210400229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,8.532374828950191,8.451765150092038,8.257626228759413,7.72481906705833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,9.205654075277025,9.108853194115769,8.891401752191072,8.275357396134707,8.623307295423745,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,9.878933321603862,9.765712023965431,9.524690585470577,8.825895725211085,9.263280196324821,9.120835421334505,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,10.552212567930695,10.4225708538151,10.157988030349362,9.37643405428746,9.905070790275914,9.746535385027098,10.057282477852718,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,11.22549181425753,11.079429683664765,10.791285475228147,9.926972383363834,10.547260756786676,10.372235348719688,10.655717879246659,10.666287054518856,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,11.898771060584366,11.736288513514433,11.424582920106932,10.47751071244021,11.189450723297437,10.99793531241228,11.254153280640601,11.301524048462591,11.742499369720813,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,12.5720503069112,12.393147343364099,12.057880364985717,11.028049041516585,11.831640689808196,11.62363527610487,11.852588682034542,11.936761042406326,12.413997574233035,12.022260391664117,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,13.245329553238035,13.050006173213768,12.691174020756353,11.578587370592961,12.473830656318958,12.24933523979746,12.45064144921472,12.571998036350061,13.085495778745257,12.635136454688878,14.228724650064542,,,,,,,,,,,,,,,,,,,,,
07/04/2020,13.91860879956487,13.706865003063433,13.324466377489355,12.129125699669336,13.116020622829717,12.875035203490054,13.0478788905563,13.2072350302938,13.75699398325748,13.248012517713638,14.874140210613934,18.728028446875427,,,,,,,,,,,,,,,,,,,,
08/04/2020,14.591888045891706,14.363723832913099,13.957758734222352,12.679664028745712,13.75821058934048,13.500735167182647,13.644408733198729,13.842472024237537,14.4284921877697,13.860888580738397,15.519555771163322,19.437807039735176,18.51458208622084,,,,,,,,,,,,,,,,,,,
09/04/2020,15.26516729221854,15.020582662762767,14.591051090955354,13.230202357822089,14.40040055585124,14.126435130875237,14.240738356886505,14.47770901818127,15.099990392281923,14.473764643763156,16.164971331712714,20.14758563259493,19.231109116642514,30.25663621615617,,,,,,,,,,,,,,,,,,
10/04/2020,15.938446538545376,15.677441492612436,15.224343447688355,13.780740686898467,15.042590522362003,14.75213509456783,14.837067980574282,15.112946012125008,15.771488596794144,15.086640706787916,16.810386892262105,20.85736422545468,19.947613123297153,30.997473731512386,34.61562723251818,,,,,,,,,,,,,,,,,
