data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_38,yhat_model_34_to_38,yhat_model_35_to_38,yhat_model_36_to_38,yhat_model_37_to_38,yhat_model_38_to_38
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,6.508983692200781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,6.175691233496049,6.34316775604451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,6.074024947341623,6.0661298239405514,6.228175648768883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,6.055951233618878,5.977358633409233,5.915210935707869,6.181792548340018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,6.054030235604808,5.9608595160576225,5.82131912964661,5.946728367328519,6.082965168902473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,6.0539070492521,5.959047910354505,5.804762014049358,5.871999745741655,5.98641581587882,6.170781886554405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,6.053902267331203,5.9589291763316545,5.803010088549213,5.858146536672445,5.954830546396009,5.9628771476167,7.092015123911244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,6.0539021548237315,5.958924502171925,5.802898039903585,5.856626813319843,5.948904520919158,5.886075288786836,6.759197354492065,7.766799158993909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,6.053902153218649,5.958924391228235,5.802893697213414,5.85652724114274,5.948251361515157,5.870824277130967,6.6575593500235435,7.426061771985542,8.44831951303816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,6.053902153204762,5.958924389636823,5.802893595137877,5.856523321769422,5.948208490010718,5.8690916886425,6.639486680518729,7.324684384740146,8.097914173783142,8.991998118431056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,6.053902153204689,5.958924389623007,5.802893593682467,5.856523228744865,5.948206801366527,5.868975996744744,6.637565706281584,7.306755875513303,7.994386935445073,8.717893088900675,10.028762882653451,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,6.053902153204689,5.958924389622935,5.80289359366988,5.856523227410511,5.94820676127734,5.868971393788567,6.6374425202611045,7.304848928001644,7.976192328680793,8.629898322664797,9.695720524252138,10.894899916992808,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,6.053902153204689,5.9589243896229345,5.802893593669813,5.856523227398927,5.948206760702243,5.868971283857436,6.637437738343046,7.304726403104308,7.974266602159167,8.61349332510197,9.594305044708534,10.548967837816576,11.860588999114754,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,6.053902153204689,5.9589243896229345,5.802893593669813,5.856523227398866,5.948206760697251,5.868971282274767,6.637437625835588,7.304721638442487,7.974143304056271,8.611688094981925,9.576266997079562,10.445977890732003,11.512039683696793,12.923545663387607,,,,,,,,,,,,,,,,,,,,,,,,
