data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,16.824380496950933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,18.078422608964182,16.091125584636092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,19.464861480364554,17.881329737810102,17.601515621423353,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,20.997675032410257,19.877706960838804,19.643019136137916,22.65865262511702,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,22.692316919478706,22.10400166000008,21.921305476276853,24.780857422933195,26.647576387739687,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,24.56587233107731,24.58669282194104,24.463837786533205,27.143817903266815,29.34139306446804,30.527312561549724,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,26.637230242808563,27.355308948054912,27.301264511526547,29.77484683947702,32.35401347766225,33.87450586459313,37.94645806652857,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,28.927273852904307,30.44277925901584,30.467788841317546,32.70435553028596,35.72316692912023,37.631139799280255,41.98079507351188,42.57862343160751,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,31.459091124288896,33.88582534660952,34.001581006886816,35.96620531514119,39.49104785091081,41.84729860505087,46.51953339232366,47.62935148682453,45.87568541095474,,,,,,,,,,,,,,,,,,,,,
08/04/2020,34.258207554832914,37.72539793106772,37.945238395511055,39.598098967595945,43.70484423784882,46.57919300427386,51.62573683814193,53.33239064520071,51.896422058918894,49.59927808131167,,,,,,,,,,,,,,,,,,,,
09/04/2020,37.352843522560825,42.00716391858788,42.346299032404865,43.64201649070979,48.41732861809663,51.88990961550584,57.37035390981138,59.77198812231622,58.70732171936815,55.99019511899262,51.502936617590144,,,,,,,,,,,,,,,,,,,
10/04/2020,40.77419880033823,46.78204955197707,47.25781461828926,48.144700351701786,53.68751896305938,57.85025203765425,63.83320358869401,67.04327182135358,66.41208558748941,63.20458826686135,57.91644946984989,56.44048371104264,,,,,,,,,,,,,,,,,,
