data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,16.085714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,17.942857142857143,18.761904761904763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,19.800000000000004,20.80952380952381,20.444444444444443,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,21.65714285714286,22.85714285714286,22.444444444444443,22.133333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,23.514285714285712,24.90476190476191,24.444444444444443,24.0,26.35272727272727,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,25.371428571428574,26.952380952380956,26.444444444444443,25.866666666666667,28.334545454545456,30.477855477855478,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,27.228571428571428,29.000000000000004,28.444444444444443,27.733333333333334,30.316363636363636,32.603729603729604,38.145054945054945,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,29.085714285714282,31.04761904761905,30.444444444444443,29.6,32.29818181818182,34.72960372960373,40.41978021978022,43.18725274725275,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,30.942857142857143,33.0952380952381,32.44444444444444,31.46666666666667,34.28,36.85547785547786,42.6945054945055,45.690549450549454,42.19428571428571,,,,,,,,,,,,,,,,,,,,,
07/04/2020,32.8,35.142857142857146,34.44444444444444,33.33333333333334,36.261818181818185,38.981351981351985,44.96923076923077,48.19384615384615,44.90857142857143,44.7455882352941,,,,,,,,,,,,,,,,,,,,
08/04/2020,34.65714285714286,37.1904761904762,36.44444444444444,35.20000000000001,38.24363636363637,41.107226107226104,47.24395604395605,50.69714285714286,47.622857142857136,47.54117647058822,49.28921568627451,,,,,,,,,,,,,,,,,,,
09/04/2020,36.51428571428571,39.23809523809524,38.44444444444444,37.06666666666668,40.225454545454554,43.23310023310023,49.51868131868132,53.20043956043956,50.33714285714285,50.33676470588233,52.08578431372549,52.126453388372894,,,,,,,,,,,,,,,,,,
