data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_32,yhat_model_28_to_32,yhat_model_29_to_32,yhat_model_30_to_32,yhat_model_31_to_32
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,11.878097515245331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,13.132139627258582,15.544372076819537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,14.51857849865895,17.334576229993544,1417.1196212711218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,16.051392050704656,19.330953453022246,4870.865969175863,16.1673569467252,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,17.746033937773102,21.557248152183522,16741.942552735574,16.693107959702512,27.651070225897882,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,19.619589349371708,24.03993931412448,57544.724534172085,17.235956023766,33.81908504388861,30.697884132282617,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,21.690947261102963,26.808555440238354,197790.38849781957,17.796457122924505,41.362974520044325,36.36110455567855,42.941342899921196,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,23.980990871198703,29.896025751199282,679837.0849596639,18.375185321393584,50.58964956992557,43.06908967444451,54.993686029134174,33.23113595173988,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,26.512808142583292,33.33907183879297,2336708.3992129792,18.972733351551064,61.87448251255815,51.01458022390175,70.42875929892115,34.40569761776838,39.202014225662325,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,29.31192457312731,37.178644423251164,8031639.143775819,19.589713221012467,75.67657848479729,60.42587421960581,90.19599329562283,35.62177441915991,40.85536925389173,70.66519957407525,,,,,,,,,,,,,,,,,,,,,
09/04/2020,32.406560540855224,41.460410410771324,27606023.651713874,20.2267568394481,92.55745338966403,71.57338665099695,115.51129520903912,36.88083371732602,42.57845495549001,93.1335084301731,16896170676319.322,,,,,,,,,,,,,,,,,,,,
