data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_36,yhat_model_32_to_36,yhat_model_33_to_36,yhat_model_34_to_36,yhat_model_35_to_36,yhat_model_36_to_36
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,18.93457910604611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,17.713631673503915,18.701685492364575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,17.610648724327252,16.41929152117222,18.88514598546012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,17.607509767049955,16.21648424577247,17.435365516925298,18.771108430519018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,17.607474779651817,16.21018396056551,17.314582522455265,16.804676109203555,18.53637263142287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,17.607474636492135,16.21011324471909,17.31091687418924,16.632051719234322,15.495121183431039,18.561758804750983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,17.60747463627681,16.210112954624435,17.310876079836994,16.62671069201379,15.22664948902822,15.63084027311122,18.379840207966048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,17.607474636276688,16.21011295418769,17.310875913011746,16.6266508289299,15.21832947427317,15.378395678678068,14.618877832685307,18.18915993643772,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,17.607474636276688,16.210112954187448,17.310875912760874,16.626650583483773,15.218236171739045,15.370639886593901,14.289343270590829,13.5526972909795,18.13606072076779,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,17.607474636276688,16.210112954187448,17.310875912760736,16.62665058311432,15.218235789113544,15.370553184191099,14.27915586188371,13.14760932289025,13.252780401726104,18.211253550583354,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,17.607474636276688,16.210112954187448,17.310875912760736,16.626650583114113,15.218235788537559,15.370552829040589,14.279041716455259,13.135100292628017,12.829543850801906,13.67052626733266,18.159268337821153,,,,,,,,,,,,,,,,,,,,,,,,,
