data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_36,yhat_model_32_to_36,yhat_model_33_to_36,yhat_model_34_to_36,yhat_model_35_to_36,yhat_model_36_to_36
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,17.791761179628296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,17.440513741212307,17.305047407510386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,17.336931131203478,16.949634503693236,17.038642764508502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,17.318734342071714,16.845444093426572,16.67343300630487,16.701706800566924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,17.31680856372816,16.82720147640746,16.56820246952709,16.335881221730567,16.28789271782451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,17.316685264881798,16.825273750946,16.549893324239388,16.230610192076295,16.00734368032914,16.455081538996094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,17.316680481355892,16.825150403826278,16.547963022140543,16.212299450840053,15.918339210740678,16.12178908029136,18.31700114400884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,17.316680368834533,16.82514561959004,16.54783961449926,16.210369110844226,15.90183084125436,16.020122794136935,17.95297793692241,22.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,17.316680367229374,16.825145507062416,16.54783482940055,16.210245702659257,15.900019015015284,16.00204908041419,17.847825421024883,22.12564041832903,26.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,17.31668036721549,16.82514550545723,16.547834716865474,16.21024091755583,15.89990027782119,16.00012808240012,17.82951935077952,22.02036938867476,26.12564041832903,30.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,17.316680367215415,16.825145505443338,16.547834715260244,16.210240805020725,15.89989560363389,16.00000489604741,17.827589121699827,22.002058647438517,26.02036938867476,30.12564041832903,37.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,
