data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,25.436467243811435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,46.674442397169095,32.018673533157695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,85.64489526809878,57.861041721193104,45.62941769723777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,157.15341649005958,104.56086338475738,81.61889030830439,65.21565792502479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,288.3674063373793,188.95225226754627,145.9944831941674,115.5267058088768,89.55604345492864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,529.1374689458759,341.4561861984694,261.1452942158339,204.65054221172602,156.92869531170948,129.95210981626167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,970.9365721966299,617.0465061623892,467.1194636880567,362.5295479024673,274.9855226088602,225.8357530137135,173.52367301122857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,1781.6123078696016,1115.0666063666067,835.5524613661125,642.2053500664356,481.8560269953744,392.46602006987064,298.1941126805025,220.17912755329013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,3269.155273831455,2015.0402347578,1494.5810867799626,1137.6388877546335,844.3543810923732,682.0424793417496,512.4357230010819,373.59865978800724,266.1974173820676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,5998.710357585965,3641.3852988776644,2673.4079884202574,2015.2778839318503,1479.558791275072,1185.27953972633,880.6021280808844,633.9200275085726,445.4161752581622,321.23428874584596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,11007.285656406044,6580.358380028149,4782.015733885351,3569.9772512881873,2592.6249284183714,2059.824174954236,1513.282687317537,1075.6318063466704,745.2948684955002,530.2782786184239,398.9868255375921,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,20197.730895358687,11891.385518295143,8553.754076511075,6324.059662605886,4543.046250743206,3579.64133313694,2600.5211873899143,1825.1257770980503,1247.068408963323,875.3581501911043,650.7740385926357,478.2244134162148,,,,,,,,,,,,,,,,,,,,,,,,,,
