data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,49.43147251292609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,90.63100284339558,63.63848827268683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,166.16900648168354,115.001349400714,103.0675407285691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,304.66548806506916,207.81936722499597,185.3289957307682,142.30316598177401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,558.59429855927,375.5511532591598,333.24591249371457,253.0205806407075,184.52305460899976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,1024.1645431013878,678.6598891025839,599.2199858196909,449.8804632074052,323.8064203482961,253.09999654477852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,1877.7724979496525,1226.4088156291605,1077.476355880353,799.9050143004348,568.224919541645,439.48227927898006,309.90016480598626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,3442.83501885206,2216.2479427535,1937.44421907607,1422.2623212868755,997.1376072185652,763.1160665230441,530.4507763777406,364.0350199040596,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,6312.326429307344,4004.989919482387,3483.779557245437,2528.8378924857957,1749.8060601277361,1325.0730653827663,907.9634608645823,613.66726162783,426.03526528404285,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,11573.445933931982,7237.4322140271315,6264.293900171734,4496.372427757017,3070.610541508361,2300.8539665569465,1554.1454230583047,1034.4815399712045,707.5776125364206,499.39141570526584,,,,,,,,,,,,,,,,,,,,,,,,,
