data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,21.20714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,23.6,56.32857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,25.992857142857144,59.00714285714285,59.995555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,28.385714285714286,61.68571428571428,64.6288888888889,70.4860606060606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,30.77857142857143,64.36428571428571,69.26222222222222,76.18909090909091,114.66181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,33.17142857142857,67.04285714285714,73.89555555555556,81.89212121212121,121.18909090909091,112.42237762237762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,35.56428571428572,69.72142857142858,78.52888888888889,87.59515151515151,127.71636363636364,120.67412587412588,124.64395604395604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,37.957142857142856,72.4,83.16222222222223,93.29818181818182,134.24363636363637,128.92587412587415,133.73186813186814,153.82417582417582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,40.349999999999994,75.07857142857144,87.79555555555557,99.00121212121212,140.7709090909091,137.17762237762238,142.81978021978023,163.54945054945054,191.9047619047619,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,42.74285714285714,77.75714285714287,92.42888888888889,104.70424242424242,147.29818181818183,145.42937062937065,151.90769230769232,173.27472527472526,202.47619047619048,199.06470588235294,,,,,,,,,,,,,,,,,,,,,,,,,,
