data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,23.789537800768834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,23.454556922418654,59.53250232948719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,23.35277668415975,59.081637843976864,66.50256453431189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,23.334698408784735,58.903548672042994,65.96495850342974,79.51010353057457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,23.33277730143206,58.856247890571595,65.70750223878098,78.90867466176107,126.08698938555224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,23.332654113501825,58.84770850913303,65.61699810981263,78.57563584067957,125.42712900571512,127.54445000729052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,23.332649331567186,58.846656986412945,65.59349970389226,78.43229782348791,125.02284679287281,126.83888932190658,142.1817923832096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,23.332649219059643,58.846568569995796,65.58898444477812,78.38405316536017,124.82136111714537,126.37122751428045,141.45631142745867,174.28251081873566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,23.33264921745456,58.8465634915965,65.58834192070087,78.37132668114054,124.73933669560704,126.11053025973231,140.9393764294928,173.53023081777437,215.97263196304945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
