data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_40,yhat_model_36_to_40,yhat_model_37_to_40,yhat_model_38_to_40,yhat_model_39_to_40
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,49.43147251292609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,90.63100284339558,34.61735198601303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,166.16900648168354,49.84506924582368,45.428459098727444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,304.66548806506916,71.77125879312838,55.52663719686232,53.10848120776906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,558.59429855927,103.3424903744476,67.8695139470038,59.09626402153219,108.41360686132933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,1024.1645431013878,148.80149096416994,82.95605777586749,65.75914697390654,154.69184432634484,296.4799565497478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,1877.7724979496525,214.25730725988717,101.39615154878928,73.17324508297618,220.72475396648463,546.9399510209296,115.5750901527224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,3442.83501885206,308.50627515090883,123.93524746177022,81.42325505070667,314.9449618739079,1008.9832496740204,129.6514471752736,897.0399467623217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,6312.326429307344,444.2141228445606,151.48450240756324,90.60342281573685,449.38470754765723,1861.350951274337,145.44222057218795,1934.2762902556508,161.3879307265558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
