data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,9.284084513572115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,10.45725684389141,10.881384297495845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,11.77867570456217,12.280025442375157,11.75882909761211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,13.267074092598788,13.858441237121351,13.243380781362372,15.172401511012549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,14.94355217796946,15.63973905624081,14.915357053345936,17.20566821303242,17.699023595899998,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,16.831876428599436,17.649996385748814,16.798420260019938,19.51141475145407,20.098254934741455,19.087667264461977,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,18.95881653395063,19.918642587111307,18.919220118096057,22.126156385771875,22.82271952648463,21.623121546058133,19.793844765027238,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,21.35452490354981,22.47888973129961,21.3077708699107,25.09130181711447,25.916505103346356,24.49536545862366,22.33242168132512,20.09546243822356,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,24.05296412039832,25.368218810195938,23.997876054644983,28.45380896260754,29.42967581020936,27.74913546471353,25.196573180856408,22.564081241175746,20.161548000498247,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,27.092388409025027,28.62892844328983,27.027606906893528,32.26692861062848,33.41908235081396,31.4351104636382,28.428054472441875,25.335956503790072,22.522942792163335,20.094231694116868,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,30.515885943678796,32.308754112511494,30.439841153032624,36.59104773394746,37.949281955156536,35.61070113761604,32.0739759048716,28.44834164089787,25.160912842928823,22.33190611039591,21.694289632452712,,,,,,,,,,,,,,,,,,,,,
03/04/2020,34.371989684652725,36.461566990551894,34.28286983060749,41.49464581599493,43.093583055158106,40.34094414840622,36.187489768022765,31.94306644772528,28.107851666245516,24.818765808774376,24.077322012064005,23.09194735690978,,,,,,,,,,,,,,,,,,,,
04/04/2020,38.71536540221605,41.14816259323594,38.611080718641794,47.05537933524254,48.93523157371555,45.69951511192783,40.82856517678719,35.86709928345716,31.399946823220898,27.582559823858574,26.722121124695253,25.57846829553596,25.525003076116807,,,,,,,,,,,,,,,,,,,
05/04/2020,43.60758664187442,46.437150801503506,43.48572805099541,53.36131158227795,55.56875802385935,51.76987612839076,46.064862334501754,40.273178316009265,35.07762429546073,30.65412729619965,29.65744101628482,28.332735660336812,28.27069887027024,27.96557291030929,,,,,,,,,,,,,,,,,,
06/04/2020,,52.40596028256328,48.97579940600139,60.51230728573348,63.10150721699706,58.646575741224815,51.97271892138477,45.220520311804385,39.18604490449525,34.06774158353514,32.915194251610664,31.38358015513458,31.31174606444312,30.95787117612315,30.397165988518495,,,,,,,,,,,,,,,,,
07/04/2020,,,55.15899204088366,68.62161413324687,71.65537533423152,66.43672157223938,58.638262988102824,50.77561649653643,43.7756588736777,37.861492691929165,36.53079886516057,34.76293694902769,34.67991527564234,34.27034342658266,33.62059744710651,34.55248837962329,,,,,,,,,,,,,,,,
08/04/2020,,,,77.81765623341903,81.36878247032688,75.26164856995409,66.15866857885555,57.01312618312216,48.90282534241589,42.077712294078495,40.54356342319062,38.506179962529274,38.41039465031572,37.93724807155797,37.18585387622432,38.26694479821996,36.7854402307903,,,,,,,,,,,,,,,
09/04/2020,,,,,92.39891257035143,85.25880885480224,74.64357238915647,64.01688017701049,54.63050444019322,46.76344607725052,44.99711438333626,42.65249214934823,42.542157484139835,41.99650914868129,41.12918369994387,42.380712153096134,40.66470378250655,40.20909377111283,,,,,,,,,,,,,,
10/04/2020,,,,,,96.58391259637722,84.2166721111428,71.88100744440348,61.02903041884926,51.97097869143575,49.93987039799541,47.24527564979251,47.118369386253576,46.49010854315352,45.490679263527696,46.936717108577206,44.95306086713309,44.42567680480154,41.990256669684335,,,,,,,,,,,,,
11/04/2020,,,,,,,95.01752976798927,80.71120018557073,68.17697533696166,57.7584171552242,55.42556871807264,52.33260610913647,52.18683924168939,51.464520174817025,50.31468445749806,51.982501024812514,49.693653054310104,49.08443773439609,46.272211567861646,44.545171132986134,,,,,,,,,,,,
12/04/2020,,,,,,,,90.62613431557384,76.1621139021255,64.19033922920215,61.51384942010387,57.96773591659753,57.80051868332443,56.97119064296528,55.65024556771764,57.570716046113034,54.93417147235152,54.231746165348476,50.990818661195966,49.00027121434619,47.53241698901468,,,,,,,,,,,
13/04/2020,,,,,,,,,85.0825013191154,71.33851399158992,68.27090380843268,64.20965163265092,64.01805529146631,63.06707129983719,61.5516099353329,63.759674519703076,60.72733658875132,59.91883431684531,56.190605541422734,53.90093960827777,52.211593905010886,49.029990422174336,,,,,,,,,,
14/04/2020,,,,,,,,,,79.2827026564933,75.77019404181515,71.12369143963603,70.90440530049449,69.81520725563209,68.07877749652042,70.61395747800408,67.13142858665988,66.20230694661957,61.92064049982663,59.29173897724461,57.3513974417037,53.6998785834959,50.81467912245048,,,,,,,,,
15/04/2020,,,,,,,,,,,84.09325180817642,78.78222907891069,78.53151221366379,77.28538940668147,75.29811080961238,78.20508853388968,74.21087367300395,73.14470474974327,68.23499556491325,65.2216888331538,62.997172514983994,58.814552788042725,55.51181081713055,51.61587337112031,,,,,,,,
16/04/2020,,,,,,,,,,,,87.26543143376702,86.97905841573733,85.55487623021473,83.2830097718258,86.61228022092713,82.03689221660528,80.81512683902483,75.19325675833034,71.74471128062746,69.1987278761025,64.4163769249303,60.643128981905264,56.19801508630935,52.427881125321655,,,,,,,
17/04/2020,,,,,,,,,,,,,96.33529763574246,94.70919281069916,92.11465788552813,95.9232605665755,90.68821523667275,89.28991850268687,82.86108638411805,78.92012134043499,76.010775539679,70.55174985498317,66.24876829961238,61.18693133279642,56.899195202275614,53.24744271898444,,,,,,
18/04/2020,,,,,,,,,,,,,,104.84301536148313,101.88284766142492,106.23518852353158,100.25187644965872,98.65343108471781,91.3108426573853,86.81316631168569,83.49341346979804,77.27148972381458,72.37257336318,66.6187330668979,61.75184549091011,57.61152477724362,54.6378230561795,,,,,
19/04/2020,,,,,,,,,,,,,,,112.68689355065072,117.65566781163895,110.82408784260001,108.99886155114254,100.62226251959753,95.49561907729903,91.71265578259472,84.63125487901486,79.06244160677501,72.53273695488929,67.01835426629596,62.33328057979381,58.97021451898107,58.04283920433304,,,,
20/04/2020,,,,,,,,,,,,,,,,130.30386974967792,122.5112075813533,120.42918009858818,110.8832140839289,105.0464307477869,100.74101514294037,92.69200487782699,86.37069793631073,78.97174995633912,72.73401746711998,67.44202454044465,63.64613386662637,62.59827795182537,69.97366978431103,,,
21/04/2020,,,,,,,,,,,,,,,,,135.43080999103955,133.05815503782352,122.19052581120182,115.55244857795516,110.65814249330874,101.52050540374915,94.354503989492,85.98237917101177,78.93714124770466,72.96947363922915,68.69282042148008,67.51124611150064,75.88665118148442,83.33624910853189,,
22/04/2020,,,,,,,,,,,,,,,,,,147.01148515314884,134.65090024101283,127.1092056846708,121.55152975870651,111.18988127419473,103.07630522643127,93.61536919208412,85.669298704377,78.94994433319621,74.13967339078268,72.80980404980463,82.29929693971093,90.7990299934813,92.32389206808783,
