data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,11.678571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,13.07142857142857,12.904761904761909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,14.464285714285712,14.273809523809529,15.302222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,15.857142857142854,15.64285714285715,16.56888888888889,16.018181818181823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,17.249999999999996,17.01190476190477,17.835555555555555,17.436363636363637,18.009090909090915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,18.64285714285714,18.380952380952387,19.102222222222224,18.85454545454546,19.490909090909096,19.29487179487179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,20.03571428571428,19.750000000000007,20.36888888888889,20.272727272727273,20.972727272727276,20.756410256410255,20.13186813186813,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,21.428571428571423,21.119047619047628,21.635555555555555,21.690909090909095,22.45454545454546,22.217948717948715,21.532967032967036,20.674725274725276,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,22.821428571428566,22.488095238095248,22.90222222222222,23.10909090909091,23.936363636363645,23.679487179487175,22.934065934065934,21.997802197802194,21.020238095238096,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,24.214285714285708,23.85714285714287,24.168888888888887,24.52727272727273,25.418181818181825,25.141025641025635,24.33516483516484,23.32087912087912,22.25952380952381,21.230882352941173,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,25.60714285714285,25.226190476190485,25.435555555555556,25.945454545454545,26.900000000000006,26.602564102564095,25.736263736263737,24.643956043956045,23.498809523809523,22.386764705882346,22.11274509803922,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,26.999999999999993,26.595238095238106,26.702222222222222,27.363636363636367,28.38181818181819,28.064102564102555,27.137362637362642,25.967032967032964,24.738095238095237,23.542647058823523,23.247549019607845,23.013071895424833,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,28.392857142857135,27.964285714285726,27.968888888888888,28.78181818181819,29.863636363636374,29.525641025641022,28.53846153846154,27.29010989010989,25.977380952380955,24.6985294117647,24.382352941176475,24.130718954248362,25.123859649122807,,,,,,,,,,,,,,,,,,,,,
04/04/2020,29.785714285714278,29.333333333333346,29.235555555555557,30.200000000000003,31.34545454545455,30.987179487179475,29.939560439560445,28.613186813186815,27.21666666666667,25.854411764705873,25.5171568627451,25.24836601307189,26.258947368421055,27.221654135338344,,,,,,,,,,,,,,,,,,,,
05/04/2020,31.178571428571423,30.702380952380967,30.502222222222223,31.618181818181824,32.827272727272735,32.44871794871794,31.340659340659343,29.936263736263733,28.455952380952382,27.01029411764705,26.65196078431373,26.36601307189542,27.394035087719303,28.381804511278194,32.897316017316015,,,,,,,,,,,,,,,,,,,
06/04/2020,,32.071428571428584,31.76888888888889,33.036363636363646,34.30909090909092,33.9102564102564,32.74175824175824,31.25934065934066,29.695238095238096,28.166176470588226,27.78676470588236,27.48366013071895,28.529122807017544,29.541954887218044,34.08692640692641,32.43952569169961,,,,,,,,,,,,,,,,,,
07/04/2020,,,33.035555555555554,34.45454545454546,35.7909090909091,35.37179487179486,34.142857142857146,32.58241758241758,30.93452380952381,29.322058823529403,28.921568627450984,28.601307189542478,29.66421052631579,30.702105263157893,35.276536796536796,33.69644268774704,36.8604743083004,,,,,,,,,,,,,,,,,
08/04/2020,,,,35.87272727272728,37.27272727272729,36.83333333333332,35.543956043956044,33.9054945054945,32.173809523809524,30.47794117647058,30.056372549019613,29.718954248366007,30.799298245614033,31.862255639097743,36.46614718614719,34.95335968379447,38.15494071146245,36.40382608695652,,,,,,,,,,,,,,,,
09/04/2020,,,,,38.754545454545465,38.29487179487178,36.94505494505495,35.22857142857143,33.41309523809524,31.633823529411753,31.19117647058824,30.836601307189536,31.93438596491228,33.022406015037596,37.655757575757576,36.2102766798419,39.4494071146245,37.754260869565215,39.61969230769231,,,,,,,,,,,,,,,
10/04/2020,,,,,,39.75641025641024,38.34615384615385,36.551648351648346,34.65238095238095,32.789705882352926,32.325980392156865,31.954248366013065,33.06947368421053,34.18255639097744,38.845367965367956,37.467193675889334,40.74387351778656,39.10469565217391,41.00123076923078,42.797880341880344,,,,,,,,,,,,,,
11/04/2020,,,,,,,39.74725274725275,37.87472527472527,35.891666666666666,33.9455882352941,33.4607843137255,33.0718954248366,34.20456140350877,35.34270676691729,40.03497835497835,38.724110671936764,42.03833992094861,40.4551304347826,42.382769230769235,44.2177094017094,42.34505494505495,,,,,,,,,,,,,
12/04/2020,,,,,,,,39.1978021978022,37.13095238095238,35.10147058823528,34.595588235294116,34.18954248366012,35.33964912280702,36.50285714285714,41.22458874458874,39.98102766798419,43.33280632411067,41.805565217391305,43.7643076923077,45.63753846153847,43.807814407814405,44.35670498084291,,,,,,,,,,,,
13/04/2020,,,,,,,,,38.37023809523809,36.25735294117646,35.73039215686275,35.307189542483655,36.47473684210526,37.66300751879699,42.41419913419914,41.23794466403162,44.62727272727272,43.156,45.14584615384616,47.057367521367524,45.27057387057387,45.84302134646962,44.176354679802955,,,,,,,,,,,
14/04/2020,,,,,,,,,,37.413235294117634,36.86519607843138,36.42483660130718,37.60982456140351,38.82315789473684,43.60380952380952,42.49486166007905,45.92173913043478,44.50643478260869,46.527384615384626,48.47719658119658,46.733333333333334,47.32933771209633,45.68522167487686,45.87148683722654,,,,,,,,,,
15/04/2020,,,,,,,,,,,38.0,37.54248366013071,38.744912280701755,39.98330827067669,44.79341991341991,43.75177865612648,47.21620553359683,45.85686956521739,47.90892307692308,49.89702564102565,48.1960927960928,48.815654077723046,47.194088669950744,47.38895068594734,47.47620967741935,,,,,,,,,
16/04/2020,,,,,,,,,,,,38.660130718954235,39.879999999999995,41.14345864661654,45.983030303030304,45.00869565217391,48.51067193675889,47.20730434782608,49.29046153846155,51.316854700854705,49.658852258852264,50.30197044334975,48.70295566502463,48.906414534668144,48.99758064516128,49.00348240469209,,,,,,,,
17/04/2020,,,,,,,,,,,,,41.01508771929824,42.30360902255639,47.172640692640684,46.26561264822134,49.80513833992094,48.55773913043478,50.672000000000004,52.73668376068376,51.12161172161172,51.788286808976466,50.211822660098534,50.423878383388946,50.51895161290322,50.52510997067449,53.48186274509804,,,,,,,
18/04/2020,,,,,,,,,,,,,,43.46375939849624,48.36225108225108,47.52252964426877,51.099604743083,49.90817391304348,52.05353846153847,54.156512820512816,52.584371184371186,53.27460317460317,51.72068965517242,51.94134223210975,52.04032258064515,52.04673753665689,55.006261140819966,74.68045836516424,,,,,,
19/04/2020,,,,,,,,,,,,,,,49.55186147186147,48.77944664031621,52.39407114624505,51.25860869565217,53.43507692307693,55.576341880341886,54.04713064713065,54.760919540229885,53.22955665024631,53.45880608083054,53.56169354838708,53.568365102639305,56.53065953654189,76.22469060351412,88.29669467787114,,,,,
20/04/2020,,,,,,,,,,,,,,,,50.03636363636364,53.68853754940711,52.609043478260865,54.816615384615396,56.99617094017094,55.50989010989011,56.2472359058566,54.73842364532021,54.97626992955134,55.08306451612903,55.089992668621704,58.05505793226382,77.76892284186401,89.93591036414566,90.91856713856714,,,,
21/04/2020,,,,,,,,,,,,,,,,,54.983003952569156,53.95947826086957,56.19815384615385,58.416,56.97264957264957,57.733552271483305,56.2472906403941,56.493733778272144,56.60443548387096,56.61162023460412,59.579456327985746,79.31315508021389,91.57512605042017,92.6844616044616,97.17297297297297,,,
22/04/2020,,,,,,,,,,,,,,,,,,55.30991304347826,57.57969230769232,59.83582905982905,58.43540903540904,59.21986863711002,57.756157635467986,58.011197626992946,58.1258064516129,58.13324780058652,61.10385472370767,80.85738731856378,93.21434173669468,94.45035607035607,99.05135135135134,126.19076485392276,,
23/04/2020,,,,,,,,,,,,,,,,,,,58.961230769230774,61.25565811965812,59.8981684981685,60.706185002736724,59.26502463054189,59.52866147571375,59.64717741935483,59.654875366568916,62.628253119429594,82.40161955691367,94.85355742296919,96.21625053625053,100.92972972972973,128.18146405514827,133.17226720647773,
24/04/2020,,,,,,,,,,,,,,,,,,,,62.67548717948718,61.36092796092797,62.19250136836344,60.773891625615775,61.04612532443455,61.16854838709676,61.17650293255133,64.15265151515152,83.94585179526355,96.4927731092437,97.98214500214499,102.8081081081081,130.17216325637378,135.34736842105264,131.74136960600376
