data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,10.263400795636045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,11.301712051368096,11.900671009772154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,12.339562350461522,13.008250985816554,15.441093781102746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,13.377412649554948,14.114367316992356,16.533679030733797,16.250942455159077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,14.415262948648376,15.220326624167905,17.62626428036485,17.40995764823808,16.57775209334341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,15.453113247741806,16.32621909261933,18.718849529995904,18.568149809687103,17.771581889712753,17.954178021839812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,16.490963546835232,17.43211156107076,19.811434779626953,19.723786609411935,18.96541168608209,19.175380236825266,19.13666482948227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,17.52881384592866,18.538004029522188,20.90402002925801,20.879395298905,20.15924148245143,20.39292694814478,20.370951647287416,19.87787139644163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,18.566664145022088,19.643896497973614,21.996319286194176,22.033087433001885,21.352315363334558,21.61047365946429,21.60523846509256,21.06342423642339,20.41141226324732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,19.604514444115516,20.749788966425044,23.08764483972004,23.186296556069014,22.544481197815553,22.8280203707838,22.83945422253656,22.248973228410502,21.55056363299701,20.80069391885348,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,20.642364743208944,21.85568143487647,24.17888608107776,24.339505679136142,23.73585903563502,24.045567082103315,24.069965803031074,23.434521594398714,22.68971500274671,21.882461247502075,22.01607747080324,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,21.68021504230237,22.9615739033279,25.27012732243548,25.49161268922303,24.927236873454486,25.262786499663118,25.298660599523387,24.62006996038692,23.8288663724964,22.964228576150663,23.13243160295349,23.019388336755668,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,22.7180653413958,24.06746637177932,26.361368563793206,26.642803695046915,26.118494859768408,26.479753490784265,26.527355396015697,25.80561832637513,24.96801774224609,24.045995904799252,24.24878573510374,24.118569208438537,25.118162130429603,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,23.755915640489228,25.17335884023075,27.45260980515093,27.7939947008708,27.308102814742405,27.696720481905416,27.755050059532596,26.991166692363336,26.107169111995788,25.127763233447848,25.365139867253994,25.217750080121398,26.25368669291612,27.305597419827016,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,24.793765939582652,26.27925130868218,28.543851046508653,28.94518570669469,28.497710769716402,28.913406832150468,28.98247836698927,28.176715058351547,27.246320481745478,26.209530562096436,26.481493999404243,26.316930951804263,27.389211255402635,28.41411928465302,32.96453361273616,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,27.385143777133607,29.635092287866375,30.096376712518573,29.686936594507824,30.129856068755657,30.209339463410416,29.362263424339748,28.385471851495172,27.291297890745025,27.597848131554493,27.416111823487128,28.52473581788915,29.522641149479014,34.09741415637251,32.56422130702048,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,30.726333529224103,31.247567718342456,30.87603731175678,31.34630530536084,31.435064285382307,30.547811790327962,29.52462322124487,28.373065219393617,28.714202263704745,28.515292695169993,29.660260380375675,30.63116301430502,35.230294700008855,33.74869178284156,37.04218905033944,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,32.39875872416634,32.06513802900574,32.56275454196602,32.66004601253176,31.733360156316166,30.663774590994564,29.45483254804221,29.830556395854995,29.61447356685286,30.795784942862195,31.739684879131023,36.3631752436452,34.93316225866264,38.235196140554784,36.645926732999946,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,33.2542387462547,33.779203778571215,33.88502773968121,32.91890852230437,31.802925960744258,30.536599876690794,30.946910528005247,30.713654438535716,31.931309505348707,32.84820674395702,37.496055787281534,36.11763273448373,39.424961395484694,37.86607183942088,39.78582829634517,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,34.9956530151764,35.11000946683067,34.104456888292574,32.94207109560381,31.61836720533939,32.063264660155504,31.81283531021858,33.06683406783523,33.95672860878302,38.62893633091789,37.3021032103048,40.61261185795008,39.08263430528837,41.06295910680058,43.07431112359308,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,36.33499119398011,35.290005254280786,34.0811798035146,32.70013453398798,33.17961879230575,32.91201618190144,34.20235863032175,35.06525047360903,39.76036609675053,38.48657368612588,41.80026232041548,40.29793507557728,42.33518544340188,44.346251334920225,42.60480817763438,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,36.47555362026899,35.220288511425395,33.781901862636566,34.295972924456,34.01119705358431,35.33788319280826,36.17377233843502,40.89170446671272,39.671044161946966,42.98791278288086,41.512242443269876,43.60595710511919,45.618191546247374,43.907018411834315,44.694801537176815,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,36.35939721933618,34.86366919128516,35.41232705660625,35.11037792526717,36.47340775529478,37.282294203261024,42.023042836674904,40.85551463776804,44.175563245346254,42.72654981096246,44.87672876683651,46.89013175757452,45.20922864603427,46.03106513189426,44.34247428902705,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,35.94543651993375,36.52868118875651,36.209558796950034,37.608932317781296,38.39081606808703,43.15438120663709,42.03998511358912,45.36321370781164,43.94081908923717,46.147500428553826,48.16207196890168,46.511372088871326,47.3673287266117,45.68063086158302,45.24667231479808,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,37.64503532090675,37.3087396686329,38.74445688026782,39.49933793291303,44.28571957659928,43.2244555894102,46.55086417027703,45.15453143735747,47.41827209027113,49.43363069339074,47.81303684510624,48.703592321329154,47.0186735805755,46.585196675213886,46.07757694439638,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,38.40792054031577,39.87998144275434,40.607859797739025,45.417057946561464,44.408926065231284,47.738514632742415,46.36824378547777,48.68904375198845,50.703966127871425,49.11400034828879,50.039855916046605,48.356716299567985,47.923125008536374,47.431652512001264,48.23433824036984,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,41.01550600524085,41.716381662565034,46.54839631652365,45.59339654105236,48.92616509520781,47.58195613359807,49.95981541370576,51.97386914537933,50.414963851471335,51.37584031330749,49.694759018560475,49.26105334185887,48.785728079606145,49.58368901417046,53.936745418110355,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,42.82490352739103,47.67973468648583,46.77786701687344,50.1138155576732,48.795668481718366,51.2292958444699,53.242344914777334,51.715927354653886,52.71112538546652,51.032801737552965,50.598981675181356,50.13980364721104,50.93303978797108,55.27596382944159,75.04147499667467,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,48.81107305644802,47.96233749269452,51.301466020138584,50.00938082983867,52.49778086169324,54.510820684175336,53.01689085783643,54.04641045762554,52.37084445654545,51.93691000850386,51.49387921481592,52.28239056177171,56.615182240772825,76.44214934212528,88.87147764756048,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,49.146807968515596,52.48911648260398,51.22309317795896,53.7662658789166,55.77929645357333,54.31785436101899,55.381695529784565,53.70888717553793,53.27483834182635,52.84771519361898,53.63174133557235,57.95440065210405,77.84178123952863,90.29470487408341,91.71109380863928,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,53.67676694506937,52.43680552607926,55.034750896139954,57.04777222297133,55.61881786420153,56.716980601943575,55.04489272244748,54.61276667514885,54.20140061581111,54.98109210937299,59.293619063435294,79.24141313693198,91.71631320701107,93.19239808466403,98.07507759604798,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,53.65051787419956,56.30323591336331,58.31624799236933,56.91978136738407,58.05219231655754,56.37967810970315,55.950695008471335,55.55508603800324,56.330442883173596,60.632837474766525,80.64104503433535,93.1379215399387,94.66878778936047,99.63712964987819,127.24115456227106,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,57.571720930586665,59.584723761767336,58.22074487056662,59.38734503963191,57.71446349695882,57.28862334179383,56.90877146019536,57.679793656974226,61.972055886097756,82.04067693173869,94.55952987286636,96.1432959154497,101.19647947652503,128.87269137145793,134.63733834367127,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,60.85319953116533,59.52170837374917,60.72249776270628,59.049248884214485,58.626551675116325,58.2624568823875,59.029144430774856,63.311274297428994,83.44030882914204,95.97964967323837,97.61780404153895,102.74812548529901,130.50170517949408,136.33896584317156,157.5017310321259,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,60.82267187693173,62.05765048578065,60.38403427147015,59.96448000843882,59.616142304579625,60.37849520457549,64.65049270876024,84.83986588748117,97.3989133485267,99.0923121676282,104.29794486193019,132.12993774541795,138.04059334267185,159.28422585851715,167.47033135141464,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,63.39280320885502,61.71881965872583,61.30240834176133,60.969827726771754,61.727845978376116,65.98971112009147,86.2388326582034,98.81817702381505,100.56682029371743,105.84657200433814,133.7569175162501,139.74222084217215,161.06667330407,169.30811977321684,172.61116483944392,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,63.0536050459815,62.64033667508381,62.32351314896388,63.07719675217675,67.3289295314227,87.63779942892562,100.2374406991034,102.04132841980669,107.39518627593117,135.38389728708222,141.44384834167244,162.8476853639855,171.14570379401266,174.65328996669598,172.00763858642705
