data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,7.1315509657311305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,7.895505370859882,7.819076313408296,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,8.741296999885664,8.65268851850184,8.757857955041054,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,9.677692516329508,9.575174304134466,9.697162393187856,9.838014089679652,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,10.714397696571252,10.59600871550054,10.737209824889888,10.900697761382851,10.41420567015152,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,11.862158030603695,11.725676957179152,11.888805214265581,12.07817051305792,11.514555539018646,11.274348954042933,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,13.132870099459256,12.975782088871867,13.163912387657751,13.382831643980499,12.73116677934938,12.453185432865833,12.294184416419677,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,14.539704883740571,14.359164202865177,14.575778324805697,14.828419802278619,14.076323399055239,13.755280066059164,13.571392885761744,13.400998153356563,,,,,,,,,,,,,,,,,,,,,
04/04/2020,16.09724428135278,15.890032307314344,16.139070780588597,16.430157658862136,15.56360731650992,15.193520622954583,14.981286974491502,14.784340847012668,13.974910815669308,,,,,,,,,,,,,,,,,,,,
05/04/2020,17.821632249449184,17.584110269949555,17.870030667080755,18.20491220875632,17.208035495886556,16.782142407245214,16.53765102088644,16.310481635720553,15.377201409709462,14.240173027944452,,,,,,,,,,,,,,,,,,,
06/04/2020,19.730742137182492,19.458798321222865,19.78664077900278,20.171372387882325,19.026211572015857,18.536869154049263,18.255701379614575,17.99416111560577,16.920202662734912,15.613722742290886,15.475525206341935,,,,,,,,,,,,,,,,,,
07/04/2020,21.84436194367219,21.533351775728597,21.9088126154432,22.35024587566621,21.036493495706853,20.47506865905254,20.15223518991621,19.851641507953207,18.6180339660018,17.119759527832233,16.96107741090259,17.8403125013114,,,,,,,,,,,,,,,,,
08/04/2020,24.18439942139417,23.829078807582516,24.258593238725304,24.76447715589359,23.25917889222912,22.615924680103692,22.2457945988965,21.900863731764122,20.486231499024417,18.771062553644406,18.589233199060565,19.601022500618008,19.116862313034815,,,,,,,,,,,,,,,,
09/04/2020,26.775109150897332,26.369559311152127,26.860394319458397,27.439489132085217,25.716710004503472,24.980626812696187,24.556848045516993,24.161620690416903,22.54189039497961,20.58164361596307,20.373681609809147,21.53550186082737,20.978825874869806,20.911507266141214,,,,,,,,,,,,,,,
10/04/2020,,29.180887095102694,29.741245747303026,30.403450841708455,28.433900290292943,27.592580218671593,27.10799037767459,26.655748446162224,24.803821171476674,22.566866032433026,22.32942574300765,23.66090036288038,23.02214285385199,22.944760381933975,24.150689983335223,,,,,,,,,,,,,,
11/04/2020,,,32.93107644219074,33.68757408837139,31.438184961324367,30.477637283980282,29.924163758884703,29.4073371289573,27.292721858128388,24.743575004417824,24.472908900884878,25.996060347239318,25.264476894203572,25.17570934911928,26.56505608592026,25.901304041505444,,,,,,,,,,,,,
12/04/2020,,,,37.32644211566549,34.75989799401027,33.66435349838352,33.03290152434249,32.442963616752586,30.031367395994355,27.13024055353254,26.822152838326353,28.561683757288765,27.725212061697764,27.623576393082754,29.220788529646445,28.456743741719105,26.787743841612503,,,,,,,,,,,,
13/04/2020,,,,,38.43257840872186,37.184270089722745,36.464597370509026,35.79194823462932,33.04481804201554,29.747114245258583,29.396909284311764,31.380515668713794,30.425620411023477,30.309452741246112,32.1420169237613,31.26430480427667,29.348224313805336,27.176918367040884,,,,,,,,,,,
14/04/2020,,,,,,41.072226210191204,40.25280251005139,39.486637952177745,36.36064868546623,32.61640102948691,32.21882600844869,34.47754593190233,33.389045874046296,33.25648034857191,35.35528313615492,34.348861688686945,32.15344582455837,29.669345703972077,28.42402807623934,,,,,,,,,,
15/04/2020,,,,,,,44.4345536973793,43.56271881444601,40.009201174807174,35.76244765610765,35.31162882883974,37.880230714996294,36.64110605860499,36.49005129247605,38.889782449016394,37.73774298500167,35.226801708289116,32.39035650080783,30.96868873686463,29.584958561565568,,,,,,,,,
16/04/2020,,,,,,,,48.05956062414846,44.02386196388252,39.211949264408446,38.70132109154971,41.61873591164196,40.209913702312036,40.038026555167654,42.777628823037254,41.460973539949734,38.59392132855998,35.36091441709709,33.741160102586534,32.16482880919579,30.124505835296596,,,,,,,,
17/04/2020,,,,,,,,,48.44136761809072,42.9941758992536,42.416402298835685,45.726204571327294,44.12631969573623,43.93097607848101,47.05414668031475,45.55154047139515,42.28288380675187,38.60390571440854,36.761836923148955,34.969669136833296,32.652209349610025,30.31280225525012,,,,,,,
18/04/2020,,,,,,,,,,47.14122087610136,46.48810772429966,50.239050723162215,48.42417977580391,48.202442159551865,51.75819185705331,50.04568542795645,46.32445217978547,42.14431558043643,40.05293978794167,38.01909740585889,35.39200879310501,32.743842173413796,32.00011420545119,,,,,,
19/04/2020,,,,,,,,,,,50.95067102957509,55.19728219794392,53.140647194874845,52.889228456798755,56.932504642194914,54.98322568315246,50.75232993958084,46.00942062399889,43.638678584265485,41.33444219618603,38.36170082702789,35.369847737905395,34.52904837492409,33.96291509095827,,,,,
20/04/2020,,,,,,,,,,,,60.64485531042861,58.316493895497864,58.031717096332635,62.62409810963745,60.40790690890779,55.60344209359201,50.22899902398019,47.54543058919609,44.938891984493885,41.58057540461195,38.206454892406484,37.25784145716418,36.61833366568196,36.07364586719635,,,,
21/04/2020,,,,,,,,,,,,,63.99646296727134,63.67421661103623,68.88468527237276,66.3677907539245,60.91824309023978,54.835559951281155,51.80193450511908,48.8576573311143,45.06954107103837,41.27055355912982,40.202288084350776,39.4813683354347,38.86652558014467,37.13145609384181,,,
22/04/2020,,,,,,,,,,,,,,69.86534371021366,75.77114893960616,72.91568066079091,66.74105417709784,59.8645940313281,56.4395018662932,53.118147209954415,48.85126077713477,44.58038820596059,43.37943112123996,42.568251736127586,41.87563453478689,39.9210151524282,38.157040647828204,,
23/04/2020,,,,,,,,,,,,,,,83.34605854591312,80.10958969448667,73.1204330051334,65.35484677679479,61.49224737158283,57.75016071475724,52.950299089003884,48.15566647892701,46.80766031162553,45.896485665720995,45.11771354697225,42.920144224150484,40.9371558225718,40.28592156772599,
