data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,8.02070840317378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,8.830502209072103,8.859800276139499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,9.636010123509285,9.704204072900053,9.932868327485082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,10.440776214084947,10.5462354261053,10.807395018864133,10.735156167747009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,11.245385962943754,11.38710458567731,11.681921710243182,11.586868118582272,11.52451336824558,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,12.049860881004975,12.227973745249319,12.556406533682498,12.438580069417533,12.392847961669231,12.12932035980145,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,12.854335799066195,13.068842904821327,13.43070904756389,13.290292020252794,13.26118255509288,12.965573330691571,12.910953513059173,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,13.658810717127418,13.909712064393336,14.305011561445284,14.141801712300252,14.12951714851653,13.801826301581691,13.740930571441787,13.996093936747016,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,14.463285635188639,14.750581223965344,15.179314075326678,14.993204374383392,14.997475305626812,14.637094289200723,14.5709076298244,14.859444091422244,14.008192851770469,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,15.267760553249861,15.591450383537355,16.05361658920807,15.844607036466533,15.864874291334866,15.471866043251708,15.400833227929303,15.722794246097468,14.783532585349487,15.00521535951256,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,16.07223547131108,16.432168564246663,16.927919103089465,16.69600969854967,16.73227327704292,16.30663779730269,16.22836135506702,16.586144400772692,15.558872318928502,15.814647826667752,17.178433453125002,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,16.876710389372303,17.272740643493773,17.80222161697086,17.54741236063281,17.59967226275098,17.141409551353675,17.054937700255188,17.449494555447924,16.334212052507525,16.624080293822946,18.007339257571736,17.081810859439038,,,,,,,,,,,,,,,,,,,,,
07/04/2020,17.681185307433523,18.113312722740883,18.67652413085225,18.39881502271595,18.467071248459032,17.97618130540466,17.88151404544336,18.312844710123148,17.109551786086538,17.433512760978136,18.836245062018474,17.86919927022648,19.282175180822637,,,,,,,,,,,,,,,,,,,,
08/04/2020,18.485660225494744,18.953884801987993,19.55082664473364,19.250217684799086,19.33447023416709,18.810944295764124,18.70809039063153,19.176194864798372,17.883192552286353,18.242945228133333,19.66515086646521,18.656587681013924,20.076518251223266,23.779873338763835,,,,,,,,,,,,,,,,,,,
09/04/2020,19.29013514355597,19.794456881235103,20.42512915861504,20.101620346882225,20.201869219875146,19.645562303019748,19.534666735819698,20.039545019473596,18.656529336536448,19.052377695288524,20.494056670911945,19.443976091801368,20.87086132162389,24.63349076683592,23.4914150914593,,,,,,,,,,,,,,,,,,
10/04/2020,,20.635028960482213,21.29943167249643,20.95302300896537,21.069268205583196,20.480180310275376,20.36124308100787,20.90289517414882,19.42986612078654,19.861810162443714,21.322962475358686,20.23064829229973,21.665204392024528,25.487108194907997,24.357274877952513,23.165615130975425,,,,,,,,,,,,,,,,,
11/04/2020,,,22.173734186377825,21.804425671048502,21.936667191291253,21.314798317531007,21.18781942619604,21.766245328824052,20.203202905036633,20.671242629598908,22.151868279805417,21.015232502294666,22.459547462425153,26.34072562298008,25.223134664445723,24.07442169194444,23.005534527593962,,,,,,,,,,,,,,,,
12/04/2020,,,,22.655828333131648,22.804066176999303,22.149416324786632,22.01439577138421,22.628603515168138,20.976539689286728,21.4806750967541,22.980774084252158,21.799816712289605,23.253890532825782,27.194343051052165,26.08899445093894,24.983228252913456,23.903312309009944,25.09006605307041,,,,,,,,,,,,,,,
13/04/2020,,,,,23.671465162707367,22.984034332042263,22.84097211657238,23.49048244459909,21.749876473536816,22.29010756390929,23.809679888698895,22.584400922284544,24.048233603226407,28.047960479124246,26.95485423743215,25.892034813882464,24.801090090425923,26.026756268421927,26.16237018732919,,,,,,,,,,,,,,
14/04/2020,,,,,,23.818652339297884,23.667548461760546,24.352361374030036,22.523213257786914,23.09934144467908,24.63858569314563,23.368985132279484,24.842576673627036,28.901316438930415,27.820714023925365,26.80084137485148,25.69886787184191,26.96344648377344,27.070896752888782,26.332245314085004,,,,,,,,,,,,,
15/04/2020,,,,,,,24.49412480694872,25.214240303460986,23.296550042037005,23.908084802710892,25.46749149759237,24.153569342274423,25.636919744027672,29.753955036908458,28.68657381041858,27.70964793582049,26.596645653257887,27.90013669912495,27.97915023736209,27.26329981373608,27.12153390669799,,,,,,,,,,,,
16/04/2020,,,,,,,,26.07611923289193,24.069886826287096,24.716828160742708,26.296397302039104,24.938153552269362,26.4312628144283,30.606593634886504,29.552433596911794,28.618454496789504,27.494423434673866,28.83682691447646,28.88720621366174,28.194354313387155,28.022190800565674,29.146461937581115,,,,,,,,,,,
17/04/2020,,,,,,,,,24.84322361053719,25.52557151877452,27.125303106485845,25.722737762264302,27.225605884828923,31.459232232864544,30.418293383405004,29.527261057758523,28.39220121608985,29.77351712982798,29.79526218996139,29.125408813038224,28.92284769443336,30.06490919035877,31.323455879687074,,,,,,,,,,
18/04/2020,,,,,,,,,,26.334314876806335,27.954208910932582,26.50732197225924,28.01994895522955,32.311870830842594,31.284153169898214,30.436067618727535,29.28997899750583,30.710207345179487,30.703318166261038,30.053613434672304,29.82350458830105,30.983356443136415,32.24782579219204,33.42366253888041,,,,,,,,,
19/04/2020,,,,,,,,,,,28.783114715379313,27.29190618225418,28.814292025630188,33.16450942882064,32.15001295639143,31.344874179696546,30.187756778921813,31.646897560531006,31.611374142560692,30.981343605033462,30.724161482168736,31.90180369591406,33.16920820955391,34.37302059754006,33.24810284901734,,,,,,,,
20/04/2020,,,,,,,,,,,,28.07649039224912,29.608539511503306,34.01714802679868,33.01587274288464,32.25368074066556,31.085534560337795,32.58358777588252,32.51943011886034,31.90907377539462,31.624818376036426,32.82025094869171,34.09059062691576,35.3223786561997,34.201203411834726,34.2331539491447,,,,,,,
21/04/2020,,,,,,,,,,,,,30.402200613846517,34.86973393876639,33.88173252937786,33.16248730163457,31.98331234175377,33.52027799123403,33.427486095159985,32.83680394575579,32.524477689736386,33.73869820146936,35.01197304427762,36.271736714859365,35.15343701452916,35.17120350777264,37.62214602926826,,,,,,
22/04/2020,,,,,,,,,,,,,,35.72230057173695,34.74759231587107,34.07129386260358,32.88109012316975,34.45696820658554,34.335542071459635,33.76334417891468,33.42401973428316,34.657145454247,35.93335546163948,37.22109477351901,36.1056706172236,36.109253066400576,38.573421921489654,37.30166134205036,,,,,
23/04/2020,,,,,,,,,,,,,,,35.61345210236428,34.9801004235726,33.77886790458574,35.39365842193706,35.243598047759285,34.689306850585005,34.323561778829934,35.57559270702466,36.85473787900135,38.17045283217867,37.057904219918036,37.047302625028514,39.52380067000952,38.270434281611095,37.00038611040236,,,,
24/04/2020,,,,,,,,,,,,,,,,35.88890698454161,34.67664568600171,36.33034863728857,36.15165402405894,35.615269522255325,35.22310382337671,36.4940399598023,37.7761202963632,39.11981089083832,38.01013782261247,37.98535218365645,40.473843606835814,39.23920722117183,37.99297652246419,44.1161124311482,,,
25/04/2020,,,,,,,,,,,,,,,,,35.574423467417695,37.267038852640084,37.059710000358585,36.541232193925644,36.122645867923474,37.412487212579954,38.69750271372507,40.06916894949797,38.958962427940634,38.92340174228439,41.42388654366211,40.20798016073257,38.98556693452601,45.08089930521477,52.15999398341581,,
26/04/2020,,,,,,,,,,,,,,,,,,38.2037290679916,37.96776597665824,37.467194865595964,37.022187912470244,38.33093446535759,39.61888513108693,41.01852700815762,39.90773258669335,39.86145130091233,42.37392948048839,41.1767531002933,39.978157346587835,46.04568617928134,53.1557317061477,61.290422960533114,
27/04/2020,,,,,,,,,,,,,,,,,,,38.8758219529579,38.39315753726629,37.921729957017014,39.24938171813525,40.54026754844879,41.967885066817274,40.856502745446086,40.79950085954026,43.323969939549556,42.14552603985403,40.970747758649665,47.0104730533479,54.1497552999745,62.33159124006992,60.88437773510645
