data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_39,yhat_model_35_to_39,yhat_model_36_to_39,yhat_model_37_to_39,yhat_model_38_to_39,yhat_model_39_to_39
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,8.228431604446145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,7.441066372011623,8.229849427313624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,7.372719665687545,7.44868986758966,8.182690595840963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,7.370613298478547,7.381196119664466,7.186054561936315,8.171907228750861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,7.370589723432923,7.37911988078252,7.098867599057168,7.125003169809684,8.190633080826148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,7.370589626822348,7.379096659162546,7.096173874179848,7.034268788539695,7.228968006787004,8.125854028936095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,7.370589626676953,7.379096564024986,7.096143698929263,7.0314747618266935,7.1463627827225205,6.868800120591418,8.12694641263395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,7.370589626676872,7.379096563881822,7.096143575232069,7.031443500789473,7.143826941940125,6.758571161387751,6.87340667733485,8.086539720135107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,7.370589626676872,7.379096563881743,7.096143575045889,7.031443372698042,7.14379860120998,6.755162526605701,6.765049469291314,6.648518792965315,8.12197279477747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,7.370589626676872,7.379096563881743,7.096143575045786,7.0314433725052785,7.143798485131641,6.755124330448456,6.761715913582925,6.523150739452505,6.844833002896199,8.098265515070208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,7.370589626676872,7.379096563881743,7.096143575045786,7.031443372505172,7.143798484956982,6.755124173852409,6.761678628788165,6.519281820803743,6.7352376245278665,6.713708622400684,8.012365169648897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,7.370589626676872,7.379096563881743,7.096143575045786,7.031443372505172,7.143798484956886,6.755124173616702,6.761678476033696,6.519238498641975,6.731874503978889,6.593345777922812,6.234878722344654,7.943038620671416,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,7.370589626676872,7.379096563881743,7.096143575045786,7.031443372505172,7.143798484956886,6.755124173616571,6.761678475803828,6.519238321078034,6.731836922813947,6.589634800804919,6.079062729149111,5.846786426667515,8.01758342491149,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,7.370589626676872,7.379096563881743,7.096143575045786,7.031443372505172,7.143798484956886,6.755124173616571,6.761678475803701,6.519238320810792,6.731836768896537,6.589593260916194,6.0742452193552765,5.663938297750048,6.2603220799599715,7.865363378535184,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,7.370589626676872,7.379096563881743,7.096143575045786,7.031443372505172,7.143798484956886,6.755124173616571,6.761678475803701,6.5192383208106435,6.731836768664948,6.5895930906775995,6.074191239526495,5.658295172605937,6.110153453302393,5.414610053210893,7.786620893987212,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,7.379096563881743,7.096143575045786,7.031443372505172,7.143798484956886,6.755124173616571,6.761678475803701,6.5192383208106435,6.73183676866482,6.589593090421394,6.074191018226666,5.6582319834111985,6.105552149493747,5.198933415821924,4.972477882923959,7.880364616940144,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,7.096143575045786,7.031443372505172,7.143798484956886,6.755124173616571,6.761678475803701,6.5192383208106435,6.73183676866482,6.589593090421252,6.07419101789357,5.658231724418511,6.105500760213687,5.1922554449349825,4.727370813308621,5.492728824264337,7.812516609037548,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,7.031443372505172,7.143798484956886,6.755124173616571,6.761678475803701,6.5192383208106435,6.73183676866482,6.589593090421252,6.074191017893385,5.658231724028714,6.10550054978571,5.192180578661553,4.719810352956947,5.288517135379236,5.117275968126808,7.857059777362836,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,7.143798484956886,6.755124173616571,6.761678475803701,6.5192383208106435,6.73183676866482,6.589593090421252,6.074191017893385,5.658231724028498,6.105500549469117,5.192180271673464,4.719725711339357,5.282257902374119,4.882427895455355,5.363524101085739,7.7271585214386445,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,6.755124173616571,6.761678475803701,6.5192383208106435,6.73183676866482,6.589593090421252,6.074191017893385,5.658231724028498,6.105500549468942,5.192180271211357,4.719725364445642,5.282187988367078,4.875181130646899,5.149020723385059,4.641513368544147,7.7817735232988765,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,6.761678475803701,6.5192383208106435,6.73183676866482,6.589593090421252,6.074191017893385,5.658231724028498,6.105500549468942,5.192180271211101,4.719725363923565,5.282187702071844,4.875099987304382,5.142432608284938,4.371393299895833,4.9424859682859275,7.758228302264458,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,6.5192383208106435,6.73183676866482,6.589593090421252,6.074191017893385,5.658231724028498,6.105500549468942,5.192180271211101,4.719725363923276,5.282187701641099,4.875099654726117,5.14235896627408,4.363045041914724,4.698227246281243,4.812722470173861,7.765160913948318,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,6.73183676866482,6.589593090421252,6.074191017893385,5.658231724028498,6.105500549468942,5.192180271211101,4.719725363923276,5.282187701640861,4.875099654225573,5.142358664631147,4.362951512631222,4.6907253394572805,4.557325239803574,4.850940090638172,7.613738290852625,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,6.589593090421252,6.074191017893385,5.658231724028498,6.105500549468942,5.192180271211101,4.719725363923276,5.282187701640861,4.875099654225296,5.142358664177267,4.362951129209295,4.690641483787933,4.549458207183785,4.5988125601994065,4.00795102783082,7.644623868407559,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,6.074191017893385,5.658231724028498,6.105500549468942,5.192180271211101,4.719725363923276,5.282187701640861,4.875099654225296,5.142358664177015,4.362951128632185,4.690641140310376,4.549370174859238,4.591052647061863,3.692294731287382,4.176340828280148,7.545989915791759,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,5.658231724028498,6.105500549468942,5.192180271211101,4.719725363923276,5.282187701640861,4.875099654225296,5.142358664177015,4.362951128631865,4.690641139793548,4.549369814129914,4.590965839894443,3.6825394843053063,3.877048806298446,3.627952381502946,7.62588863342023,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,6.105500549468942,5.192180271211101,4.719725363923276,5.282187701640861,4.875099654225296,5.142358664177015,4.362951128631865,4.690641139793262,4.549369813587047,4.590965484225435,3.6824301938220256,3.8678465360655343,3.286590351368947,4.070522947754032,7.522756361588076,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,5.192180271211101,4.719725363923276,5.282187701640861,4.875099654225296,5.142358664177015,4.362951128631865,4.690641139793262,4.549369813586747,4.590965483690205,3.682429745790484,3.867743632640222,3.276057907266707,3.764824761526326,3.4982910643774194,7.449037886244451,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,4.719725363923276,5.282187701640861,4.875099654225296,5.142358664177015,4.362951128631865,4.690641139793262,4.549369813586747,4.590965483689909,3.6824297451161283,3.8677432110800605,3.2759399788175907,3.755437160234982,3.1474858911026735,3.0853445465903366,7.53288361396897,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,5.282187701640861,4.875099654225296,5.142358664177015,4.362951128631865,4.690641139793262,4.549369813586747,4.590965483689909,3.6824297451157553,3.867743210445707,3.275939495478402,3.75533223095829,3.136659891828632,2.706050947926504,3.55041762271497,7.470550394882757,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,4.875099654225296,5.142358664177015,4.362951128631865,4.690641139793262,4.549369813586747,4.590965483689909,3.6824297451157553,3.867743210445356,3.27593949475096,3.755331801168433,3.1365386671401225,2.6943587246341467,3.2079376905751475,3.2055588914637148,7.2129909803173335,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,5.142358664177015,4.362951128631865,4.690641139793262,4.549369813586747,4.590965483689909,3.6824297451157553,3.867743210445356,3.275939494750557,3.755331800521734,3.1365381702766775,2.6942278545888767,3.1974197335433536,2.8348593170701752,1.7698623834943532,7.099230975739149,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,4.362951128631865,4.690641139793262,4.549369813586747,4.590965483689909,3.6824297451157553,3.867743210445356,3.275939494750557,3.7553318005213763,3.136538169528873,2.6942273182742906,3.197302166100255,2.823430819390236,1.2928582287308459,1.130410554229028,7.77353960496736,7.616364319496672,7.875378871420606,7.30932003636261,7.895690156719061,6.185284345668004,7.8494464269385915
