,,,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50,yhat_model_1_to_51,yhat_model_1_to_52,yhat_model_1_to_53,yhat_model_1_to_54,yhat_model_1_to_55,yhat_model_1_to_56,yhat_model_1_to_57,yhat_model_1_to_58,yhat_model_1_to_59,yhat_model_1_to_60,yhat_model_1_to_61
,,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
state,metric,model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,MAE,exponential-holt,222374.23048193022,215775.76970682511,197686.74356118773,172033.29754153226,152182.61211513221,134539.20045281926,113709.69002631005,93183.69058124481,74146.39034341589,58336.31985868164,44934.67946445167,34321.97234372082,26076.521052198284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,MAE,gaussian-process,17.4538212911714,19.399558254810266,22.62442839709199,15.25767788550374,12.842851264973278,16.31775805297956,18.76134460446737,23.41722287144497,26.200387121643313,33.147126290135226,38.05045722266205,45.370346884511726,54.33125696541207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,MAE,linear-regression,5.1428571428571415,5.671428571428588,4.37666666666667,3.717818181818181,8.189333333333336,7.8258741258741225,9.117216117216117,9.778901098901109,11.539682539682538,14.013725490196073,17.948529411764703,23.26042884990255,30.20140350877193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,MAE,mlp,3.6177333090609185,4.6312452179744055,3.5483827105871653,3.7055992489774687,6.7636266941026975,6.647929823191968,7.531513064971468,9.372426576684576,12.183853002802165,16.304670157196178,21.635354628439483,25.845137724150337,33.290806659660056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,MAE,svr,16.69605807567878,18.963498503595726,22.298734191669837,15.82745672908276,12.009703057216866,15.83261145031718,18.820327500542916,23.212075560533858,26.856197924743476,33.2832533463177,39.260283993796186,46.09086668688342,55.742826506170815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,MSLE,exponential-holt,40.610744224012976,40.339772663012226,39.495437923633816,38.144716493508284,36.85389709675818,35.50105503780567,33.753971474042025,31.689330685214337,29.230046300248087,26.759034313485866,24.12475349742725,21.53757671353584,19.0087646306068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,MSLE,gaussian-process,0.2922671067095669,0.30915815971631944,0.3866286418615998,0.1388173830272218,0.0975069269045993,0.13884612062333127,0.1623307563817627,0.22183328470507185,0.2339577501061888,0.3280688494365218,0.3595730600332845,0.435203024025798,0.5398113670674431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,MSLE,linear-regression,0.016516403286249245,0.019184271637778787,0.012799116797222338,0.006493103928170071,0.025927892640985408,0.02120185797860885,0.025725860253769613,0.02601204831536934,0.02953290317673894,0.037586615949309836,0.05537950116240478,0.08147226340440775,0.11798368983302268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,MSLE,mlp,0.01176785095166241,0.0164123911218201,0.008141578490680599,0.005929480533318468,0.018695880726144733,0.01533985728609561,0.016892864970977424,0.025144561705389524,0.034641577629547914,0.05550602613216203,0.08525996536410986,0.10215016158232446,0.1469419569789805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,MSLE,svr,0.2585116646827986,0.29446749662552313,0.377473505239972,0.15133718147945022,0.08576493690228275,0.13253530612496742,0.16616084944124285,0.22333334892577644,0.25150814597186605,0.33772699658563937,0.3981169577571533,0.4622107781586812,0.5906167200545129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,RMSE,exponential-holt,493530.5651294682,472875.9130238625,427387.92560908786,366567.6675586606,319606.876321926,278431.9252683805,231676.08683445601,186770.70109771672,146084.85574551948,112926.8333552537,85407.12764764133,64027.08735263121,47729.71938999625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,RMSE,gaussian-process,20.098141096266872,22.073480383979586,25.305446753353905,19.105769716769732,18.690581729513045,23.408477201341785,26.53262834443507,31.75729825471911,36.43314285342119,44.48790739237243,50.99684650321967,59.444597946899385,69.65033407552203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,RMSE,linear-regression,6.061251975475369,6.727640664007425,5.4745905760439015,4.3498225795805965,9.24543267480504,8.824072563497252,9.825321777613766,10.438321499646602,14.312549398859193,18.60895663417721,25.83866347977371,33.64770184837542,42.779235975834176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,RMSE,mlp,4.436291390626729,5.833564091470818,4.172363658832138,4.5984547060077805,7.889531863305585,8.450649376962428,10.116053436187915,13.58504197403084,17.58643711744363,23.69738001949795,31.35267659256792,36.8363750459731,46.270124477058594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,RMSE,svr,19.256339756754013,21.719351904754113,25.11807456158848,19.709194734374968,17.837453945971784,23.046949467448602,26.75626737071211,31.84133277468844,37.287840515488476,44.889918440950225,52.52789611935349,60.46909417541914,71.35213123579493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MAE,exponential-holt,6.571428571428571,7.7142857142857135,8.928571428571429,10.142857142857142,7.542857142857144,6.0967205885488305,3.0629931493288893,1.474244293570128,1.8061437006410943,1.6353377835795186,3.142771498371181,5.329263219952517,5.439961289439352,4.353182070449994,7.7579561998133,11.079043669789334,10.391745089617505,8.232462640759744,3.478265683095653,5.785955214881545,8.367098206238882,12.481396723980136,14.803212348183346,19.699856491410173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MAE,gaussian-process,6.1175971303438805,7.1749580305360725,8.302449803583901,9.426080341479713,7.040127419105794,7.884001167611972,6.52661659051203,8.498902526279386,9.468218269790393,9.197307736453302,9.206511595523018,11.042106202021413,12.984571410387476,12.108469644107888,11.709661620079865,13.933439259137495,16.51404194225994,21.02448708298422,25.26083974617352,27.06137011157755,34.042852829204264,36.657447098141816,44.461675840987866,54.561442031474506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MAE,linear-regression,6.133333333333334,7.2,8.333333333333334,9.466666666666667,7.080000000000001,6.492307692307692,5.136043956043954,5.815794871794872,7.0424126984127,6.259921568627452,5.958921568627452,7.231423001949318,9.298994152046783,8.262315789473686,7.8747763347763335,9.376924524750613,11.866851119894594,15.835584541062802,20.49846153846154,22.10802051282052,28.237948717948715,31.492782338989233,37.676669950738905,48.23433543443332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
